"InovaFlow
General Ledger
Basis: Accrual
From 01 Jan 2024 To 31 Dec 2024",,,,,,
name,account_code,account_id,credit_total,debit_total,balance,is_debit
1104-SRV1,1104,5076739000000198007,15016.96,15016.96,0,true
1200-Inventory Asset,1200,5076739000000034001,0,0,0,true
1250-Accounts in Collection,1250,5076739000000285007,0,0,0,true
1251- E. Enghamallah,1251,5076739000000285013,0,691.54,691.54,true
1402-Employee Advance,1402,5076739000000035001,0,0,0,true
2140-Employee Reimbursements,2140,5076739000000035003,0,0,0,true
2150-Dimension Adjustments,2150,5076739000000045001,0,0,0,true
2805-Square Loan Payable,2805,5076739000000219005,1485.16,313.35,-1171.81,false
3000-Business Income (Draws),3000,5076739000000209137,1220.41,0,-1220.41,false
3040-Discount,3040,5076739000000000406,0,738.88,738.88,true
3041-Late Fee Income,3041,5076739000000000397,0,0,0,true
3042-Other Charges,3042,5076739000000010001,568.61,150,-418.61,false
3043-Shipping Charge,3043,5076739000000014001,0,0,0,true
3110-Square Sales,3110,5076739000000364059,1504.1,2604.22,1100.12,true
3210-RENTAL INCOME,3210,5076739000000364150,6360,0,-6360,false
3800-QHR LLP DRAWS,3800,5076739000000350085,1182.8,0,-1182.8,false
4000-Business Expense,4000,5076739000000337166,0,0,0,true
4010-Advertise-n-Market,4010,5076739000000000403,0,141.93,141.93,true
4020-Car-Automobile,4020,5076739000000000424,0,56.48,56.48,true
4021-Car/Auto Insurance,4021,5076739000000091337,1172.95,2890.1,1717.15,true
4022-Fuel Charging,4022,5076739000000153059,0,49.5,49.5,true
4023-Supercharger,4023,5076739000000198439,0,246.61,246.61,true
4024-Oil-n-Lube,4024,5076739000000169502,0,0,0,true
4063-Section 179,4063,5076739000000169520,0,0,0,true
4103-Consult Fees,4103,5076739000000000454,1.03,2951.16,2950.13,true
4200-Office Expense,4200,5076739000000000400,0,568.19,568.19,true
4201-Office Supplies,4201,5076739000000000442,521.67,4402.97,3881.3,true
4203-Software Subscription,4203,5076739000000155001,118.36,2213.12,2094.76,true
4204-Janitorial,4204,5076739000000000433,0,22,22,true
4400-Rent-Office,4400,5076739000000000430,0,823.69,823.69,true
4700-Taxes-Licenses,4700,5076739000000227001,353.85,199.99,-153.86,false
4800-Travel Expense,4800,5076739000000000418,367.5,3376.72,3009.22,true
4803-Lodging,4803,5076739000000032023,0,0,0,true
4804-Deductible Meals,4804,5076739000000000448,6.4,5434.24,5427.84,true
4903-Telephone Expense,4903,5076739000000000421,0,299.24,299.24,true
4904-IT and Internet Expenses,4904,5076739000000000427,0,848.54,848.54,true
4999-Uncategorized,4999,5076739000000035005,0,0,0,true
5000-Wages,5000,5076739000000000445,0,0,0,true
5102-Postage,5102,5076739000000000436,17.86,647.72,629.86,true
5105P-Dues and Subscriptions,5105P,5076739000000089445,48.48,1408.8,1360.32,true
5112-Credit Card Charges,5112,5076739000000000412,0,0,0,true
5300-Cost of Goods Sold (COGS),5300,5076739000000034003,0,524.01,524.01,true
6000-Owner's Equity,6100,5076739000000000382,0,0,0,true
6150-Owners Draw/Personal,6150,5076739000000012001,818.52,201.25,-617.27,false
6200-Opening Balance Offset,6200,5076739000000000385,91846.06,74164.67,-17681.39,false
6300-Retained Earnings,6300.00,5076739000000000379,0,0,0,true
Fuel/Mileage Expenses,,5076739000000342252,0,0,0,true
P1100-Other Current Assets (Personal),P1100,5076739000000169492,0,0,0,true
P1101-Petty Cash,P1101,5076739000000000361,894.89,894.89,0,true
P1102-Undeposited Funds,P1102,5076739000000000358,1114.29,1292.71,178.42,true
P1103-AutoSave,P1103,5076739000000089015,106.55,40,-66.55,false
P1103.1-SoFi Savings,P1103.1,5076739000000089023,14000,14000,0,true
P1103.2-SoFi Checking,P1103.2,5076739000000089031,27319.46,22195.06,-5124.4,false
P1103.3-SoFi Savings,P1103.3,5076739000000168535,6860.45,6860.45,0,true
P1103.4-SoFi Checking,P1103.4,5076739000000168543,25067.35,25068.18,0.83,true
P1103.5-Spend everyday spending,P1103.5,5076739000000168751,14075.56,14214.31,138.75,true
P1300-Accounts Receivable,P1300,5076739000000000364,4738.09,10697.55,5959.46,true
P1400-Prepaid Expenses,P1400,5076739000000085012,3608.4,3852.49,244.09,true
P1401-Advance Tax,P1401,5076739000000000370,0,0,0,true
P1500-SRV Drawing Account,P1500,5076739000000090595,2500.38,1044.39,-1455.99,false
P1700-Furniture and Equipment,P1700,5076739000000000367,0,0,0,true
P1801-4817 Shadow Pointe,P1801,5076739000000186323,0,0,0,true
P1990-Other Assets (Personal),P1990,5076739000000169484,0,0,0,true
P1991-Insurance Proceeds Receivable (Asset),P1991,5076739000000157521,56088.67,39496.93,-16591.74,false
P1992-Vehicle - 2021 TM3,P1992,5076739000000157515,39496.93,39496.93,0,true
P1993-Vehicle - 2023 TM3,P1993,5076739000000168447,0,26920,26920,true
P2101-Accounts Payable,P2101,5076739000000000373,48059.63,57251.83,9192.2,true
P2108.0924-Gatestone & Co. International Inc.,P2108.0924,5076739000000337663,4833.29,0,-4833.29,false
P2110-Tax Payable,P2110,5076739000000000376,5.93,0,-5.93,false
P2120-Unearned Revenue,P2120,5076739000000005001,465.15,370.22,-94.93,false
P2130-Opening Balance Adjustments,P2130,5076739000000003001,0,48209.97,48209.97,true
P2300-Car Loans,P2300,5076739000000168387,29810.05,11444,-18366.05,false
P2301-BridgecrestM3Black,P2301,5076739000000169544,1341.13,1539.8,198.67,true
P2302-Loan Mart Title Loan,P2302,5076739000000157533,18700.99,18613.66,-87.33,false
P2303-Bridgecrest M3 Blue,P2303.1,5076739000000336043,0,5606,5606,true
P2600-MORTGAGE,P2600,5076739000000350103,0,0,0,true
P2601-FCFCU Mortgage 1,P2601,5076739000000092279,0,11775.67,11775.67,true
P2602-FCFCU Mortgage 2,P2602,5076739000000092175,0,1670.61,1670.61,true
P2800-Collections,P2800,5076739000000337650,0,0,0,true
"P2801-Blitt and Gaines, P.C.",P2801,5076739000000338018,0,0,0,true
"P2801.1-Blitt and Gaines, P.C.",P2801.1,5076739000000121001,33809.88,0,-33809.88,false
"P2801.2-Blitt and Gaines, P.C.",P2801.2,5076739000000338009,0,0,0,true
P2801.5811-Joel Chase Ink 5811,P2801.5811,5076739000000337696,30160.28,0,-30160.28,false
P2802-FSA LLC,P2802,5076739000000115003,0,0,0,true
P2802.1-FSA Cody,P2802.1,5076739000000115015,9358.72,0,-9358.72,false
P2802.2-FSA Cody,P2802.2,5076739000000115023,5041.37,0,-5041.37,false
P2802.3-FSA Joel,P2802.3,5076739000000115009,0,0,0,true
P3000-General Income,P3000,5076739000000000391,6850.35,0,-6850.35,false
P3100-Sales,P3100,5076739000000000388,4449.7,290,-4159.7,false
P3600-Interest Income,P3600,5076739000000000394,12.03,0,-12.03,false
P4000-Expenses (Personal),P4000,5076739000000169478,0,1372.77,1372.77,true
P4023-Loss on Disposal of Vehicle,P4023,5076739000000157509,0,2000,2000,true
P4090-Interest,P4090,5076739000000166227,0,6550.67,6550.67,true
P4500-Repairs and Maintenance,P4500,5076739000000000457,35,673.24,638.24,true
P4700-Taxes,P4700,5076739000000164059,0,7410.38,7410.38,true
P4810-Groceries,P4810,5076739000000089495,0,1333.81,1333.81,true
P4890-Entertainment,P4890,5076739000000092693,8.95,2275.17,2266.22,true
P4980.1-Honduras Expense,P4980.1,5076739000000155221,300,256.44,-43.56,false
P4982-Money Transfers To Joel,P4982,5076739000000090939,0,442.25,442.25,true
P5100-Other Expenses,P5100,5076739000000000460,31.52,274,242.48,true
P5101-HOA Dues,P5101,5076739000000336001,0,252,252,true
P5109-Bank Fees and Charges,P5109,5076739000000000409,36,409.11,373.11,true
P5114-Purchase Discounts,P5114,5076739000000072001,0,0,0,true
P5120-Exchange Gain or Loss,P5120,5076739000000000415,0,0,0,true
P5210-Utilities,P5210,5076739000000153221,0,1047.35,1047.35,true
P5210-Water and Sewage,P5210.00,5076739000000153259,0,500.32,500.32,true
P5211-Electric,P5211,5076739000000153275,0,2976.18,2976.18,true
P5212-Depreciation Expense,P5212,5076739000000000451,0,0,0,true
P5213-Home Internet,P5213,5076739000000153309,0,217.59,217.59,true
P5900-Bad Debt,P5900,5076739000000000439,0,0,0,true
P9999-Loan Mart Title Loan Payable,P9999.00,5076739000000090945,62.99,62.99,0,true
Parking,,5076739000000342058,0,0,0,true
Personal Loans Out,,5076739000000353274,0,0,0,true
PLoans Zai,,5076739000000353281,80,151,71,true
Square Cash Sales,,5076739000000364128,94.93,94.93,0,true
Square Clearing,,5076739000000364116,4262.9,4262.9,0,true
