Profit and Loss,,,,,,,,,,,,,
QIALLY LLC,,,,,,,,,,,,,
"May, 2025-April, 2026",,,,,,,,,,,,,
,,,,,,,,,,,,,
Distribution account,May 2025,June 2025,July 2025,August 2025,September 2025,October 2025,November 2025,December 2025,January 2026,February 2026,March 2026,April 2026,Total
Income,,,,,,,,,,,,,
4010 Accounting Income,"2,998.00",,,0.00,,,"1,089.00",99.00,,,,,"4,186.00"
4020 Consulting Income,778.00,"1,486.00","1,782.00","5,009.00",,954.00,915.00,300.00,,,,,"11,224.00"
4050 Tax Prep Income,600.00,,,657.00,"1,397.00",795.00,,,,,,,"3,906.86"
4065 Only Fans,,42.00,,27.95,56.68,,48.00,,,,,,174.63
4070 Square Income,,147.35,,,,,,,,,,,147.35
4085 QuickBooks Payments Sales,,,,,,,852.40,,,,,,852.40
4100 Sales of Product Income,23.22,51.02,170.00,71.09,5.07,4.15,4.56,,,,,,329.11
4110 Markup Income,56.46,11.11,57.00,22.98,9.00,3.00,12.36,,,,,,171.91
4130 Billable Expense Income,"1,025.95",110.96,570.00,229.65,100.00,39.99,-262.73,,,,,,"1,813.82"
4199.9 Discounts given,"-1,805.46",-25.28,-30.00,"-3,527.35",-398.00,,"-1,315.00",,,,,,"-7,101.09"
99440 Joel - SubContractor Work SE,345.00,,,,,,,,,,,,345.00
99480 Personal Income Other,800.00,905.00,421.75,"1,070.00",800.00,100.00,800.00,,,,,,"4,896.75"
99P400 Personal Income,,,,70.00,,,,,,,,,70.00
99P420 Personal Interest,0.11,0.12,2.57,0.14,,,,,,,,,2.94
Lyft Income,,,,,,,,71.52,,,,,71.52
Total for Income,"4,821.28","2,728.28","2,973.32","3,630.46","1,969.75","1,896.14","2,143.59",470.52,,,,,"$20,633.34"
Cost of Sales,,,,,,,,,,,,,
5000 Cost of Goods Sold,153.82,,,0.31,,,,,,,,,154.13
Total for Cost of Sales,153.82,,,0.31,,,,,,,,,$154.13
Gross Profit,"4,667.46","2,728.28","2,973.32","3,630.15","1,969.75","1,896.14","2,143.59",470.52,,,,,"$20,479.21"
Expenses,,,,,,,,,,,,,
589 Interest Paid,,224.70,449.40,561.75,449.40,561.75,224.70,,,,,,"2,471.70"
6000.1 Advertising,8.00,8.00,8.00,8.00,4.01,,,,,,,,36.01
6001 SchC Expenses,,,,,,,,,,,,,
9998.1 Bad Debt,"1,539.00","1,332.18","1,600.75",818.00,99.00,,,,,,,,"5,388.93"
B520 SchCCommissions,0.83,,,,,,,,,,,,0.83
B525 SchCLegalProfessional,,,20.00,,,,,,,,,,20.00
