Record Id,S.NO,QuotedItems Owner.id,Created By.id,Modified By.id,Created Time,Modified Time,Last Activity Time,Layout.id,Parent.id,Currency,Exchange Rate,Offering Name.id,Description,Quantity,Price Book.id,List Price,Amount,Discount,Total After Discount,Tax,Total
zcrm_5861855000002920118,1,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-11-13 01:15:26,2023-11-13 01:15:26,,zcrm_5861855000000233418,zcrm_5861855000002920117,USD,1.000000000,zcrm_5861855000002920086,"One pager simple clean informative.
Monthly Maintenace 99/mo.",1.0,,399.0,399,0.0,399,0.0,399
zcrm_5861855000002920119,2,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-11-13 01:15:26,2023-11-13 01:15:26,,zcrm_5861855000000233418,zcrm_5861855000002920117,USD,1.000000000,zcrm_5861855000001013014,"This would include bookkeeping, payroll processing, insurance audits, monthly reports, and filing necessary documents.
Estimate: $1,500 - $5,000 per month. The range depends on the complexity and volume of transactions, the extent of services required, and the company's revenue. Capped to 900 transactions then $0.50/trans. thereafter.",1.0,,399.0,399,0.0,399,0.0,399
zcrm_5861855000002920120,3,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-11-13 01:15:26,2023-11-13 01:15:26,,zcrm_5861855000000233418,zcrm_5861855000002920117,USD,1.000000000,zcrm_5861855000001013014,"Pressentation Card design $99
Materials, Shipping Handling",1.0,,349.0,349,0.0,349,0.0,349
zcrm_5861855000002920121,4,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-11-13 01:15:26,2023-11-13 01:15:26,,zcrm_5861855000000233418,zcrm_5861855000002920117,USD,1.000000000,zcrm_5861855000001013014,Logo Design,1.0,,99.0,99,0.0,99,0.0,99
zcrm_5861855000002920122,5,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-11-13 01:15:26,2023-11-13 01:15:26,,zcrm_5861855000000233418,zcrm_5861855000002920117,USD,1.000000000,zcrm_5861855000001013014,Banner Design and materials.,1.0,,449.0,449,0.0,449,0.0,449
zcrm_5861855000005016013,1,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-12-31 14:46:46,2023-12-31 14:46:46,,zcrm_5861855000000233418,zcrm_5861855000005016012,USD,1.000000000,zcrm_5861855000002493001,". Registration with the state is dissolved for not filing required filings.
B. Client does not have EIN letter - never Received.
Description: Reactivating a company's registration is crucial for maintaining its legal status and ability to conduct business including registering the vehicle with the Bmv. We handle the complexities of reactivation with the state, ensuring all paperwork is accurately completed using the existing company information. This process is essential for compliance and avoiding potential legal issues or additional delays in registering the vehicle. 
Our Service: We review the company's current status, complete necessary forms, and submit them to the Indiana Business Registration office. Our team ensures that all documentation aligns with the original company information to maintain consistency and avoid discrepancies.",1.0,,300.0,300,0.0,300,0.0,300
zcrm_5861855000005016014,2,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-12-31 14:46:46,2023-12-31 14:46:46,,zcrm_5861855000000233418,zcrm_5861855000005016012,USD,1.000000000,zcrm_5861855000000662001,"A. Complete all forms and filing and payment to the BMV on behalf of the client. 
   - Description: Acquiring BMV plates is a mandatory step for legally operating a vehicle. Our service simplifies this process by handling the necessary documentation and liaising with the BMV. We ensure that all requirements are met for a smooth and hassle-free experience.
   - Our Service: We coordinate with the dealer to obtain electronic records and submit them to the BMV. We then assist the client in meeting all the criteria for plating the car, including temporary plate issuance. Our involvement streamlines the process, ensuring all steps are completed correctly and promptly.
Note: The prices mentioned are for our services only and do not include any external fees (like BMV fees) that might be applicable. The duration for each service can vary based on individual cases and external processing times.",1.0,,300.0,300,0.0,300,0.0,300
zcrm_5861855000005016015,3,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-12-31 14:46:46,2023-12-31 14:46:46,,zcrm_5861855000000233418,zcrm_5861855000005016012,USD,1.000000000,zcrm_5861855000000506001,"A. Registration with the state is dissolved for not filing required filings.
B. Client does not have EIN letter - never Received. 
   - Description: The ITIN (Individual Taxpayer Identification Number) renewal is essential for non-U.S. citizens to comply with U.S. tax laws. It's especially important for those who don't have a Social Security Number but need to file taxes. Renewing the ITIN is crucial for legal and financial reasons.
   - Our Service: We guide the client through the ITIN renewal process, ensuring all forms are accurately completed and submitted. This service can be conveniently aligned with tax filing to streamline the client's financial responsibilities. We provide expert advice and support throughout the process to ensure compliance with tax laws. Also as acceptance agents we only take a copy of your id document.",1.0,,300.0,300,0.0,300,0.0,300
zcrm_5861855000007559021,1,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2024-02-17 17:51:07,2024-02-17 17:51:07,,zcrm_5861855000000233418,zcrm_5861855000007559020,USD,1.000000000,zcrm_5861855000005235061,,1.0,,250.0,250,0.0,250,0.0,250
zcrm_5861855000010095003,1,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2024-03-22 17:28:24,2024-03-22 17:31:49,2024-03-22 17:31:49,zcrm_5861855000000233418,zcrm_5861855000010095001,USD,1.000000000,zcrm_5861855000000959005,Min. $5 or 5%,1.0,,100.0,100,0.0,100,0.0,100
