"Service Item Id","Service Item Name",Servicio,"Service Item Code","Unit Price","Service Item Category",Handler.id,Handler,"Service Item Owner.id","Service Item Owner",SRP,Description,Tag,"Created By.id","Created By","Modified By.id","Modified By","Created Time","Modified Time","Estimated Overhead","Sale Price","Direct Costs","Net Price","Sales Rep Comm","Usage Unit","Good or Service","Executor Commission","Service Item Active"
zcrm_5107082000000510399,"Individual Return (1040)","Declaracion Estandar (1040)",A100,149,"Tax Service Individual",zcrm_5107082000000496001,"iisi Tax",zcrm_5107082000000496001,"iisi Tax",149,"Preparation and filing of a standard individual tax return (Form 1040).",,zcrm_5107082000000496001,"iisi Tax",zcrm_5107082000000496001,"iisi Tax","2025-01-16 20:14:34","2025-02-12 18:07:18",32.78,99,7,109.22,138.72,Each,Service,49.15,true
zcrm_5107082000000510404,"Form Add - Schedule C (SchC)","Formulario Adicional (Sch C)",B111,69,"Form AddOn",,,zcrm_5107082000000496001,"iisi Tax",199,"Add-on service for filing Schedule C with individual tax returns.",,zcrm_5107082000000496001,"iisi Tax",zcrm_5107082000000496001,"iisi Tax","2025-01-16 20:15:05","2025-02-12 18:07:18",15.18,69,3,50.82,64.48,Each,Service,22.87,true
zcrm_5107082000000512056,"Head of Household (HOH)","Declaracion de Jefe de Familia (1040.HOH)",A110,169,"Tax Service Individual",zcrm_5107082000000496001,"iisi Tax",zcrm_5107082000000496001,"iisi Tax",269,"Specialized filing for taxpayers qualifying as Head of Household.","Individual,1040,HOH",zcrm_5107082000000496001,"iisi Tax",zcrm_5107082000000496001,"iisi Tax","2025-01-16 21:28:12","2025-02-12 18:07:18",37.18,129,8,123.82,157.28,Each,Service,55.72,true
zcrm_5107082000000512057,"Student Return (STU)","Declaracion de Estudiante (1040.STU)",A111,69,"Tax Service Individual",zcrm_5107082000000496001,"iisi Tax",zcrm_5107082000000496001,"iisi Tax",149,"Comprehensive tax filing services for students (Form 1040).","HOH,Add-On",zcrm_5107082000000496001,"iisi Tax",zcrm_5107082000000496001,"iisi Tax","2025-01-16 21:28:12","2025-02-12 18:07:18",15.18,49,3,50.82,64.48,Each,Service,22.87,true
zcrm_5107082000000512058,"Contractor Return (1040wSchC)","Declaracion de Contratista (1040 con Sch C)",A200,249,"Tax Service Individual",zcrm_5107082000000496001,"iisi Tax",zcrm_5107082000000496001,"iisi Tax",399,"Preparation and filing of tax returns for contractors with Schedule C.","Individual,1040,Contractor,SCHC,Itemized",zcrm_5107082000000496001,"iisi Tax",zcrm_5107082000000496001,"iisi Tax","2025-01-16 21:28:12","2025-02-12 18:07:18",54.78,199,12,182.22,231.52,Each,Service,82,true
zcrm_5107082000000512059,"Business Owner Return","Declaracion de Propietario de Negocio (1040 Sch1/SchE/SchC/1065 K1)",B100,349,"Tax Service Business",,,zcrm_5107082000000496001,"iisi Tax",499,"Complete tax filing and advisory services for business owners.",,zcrm_5107082000000496001,"iisi Tax",zcrm_5107082000000496001,"iisi Tax","2025-01-16 21:28:12","2025-02-12 18:07:18",76.78,269,17,255.22,324.32,Each,Service,114.85,true
zcrm_5107082000000512060,"Business Partnership Return (1065)","Declaracion de Socios (1065) (Sin Estatal)",B200,449,"Tax Service Business",,,zcrm_5107082000000496001,"iisi Tax",699,"Tax preparation for business partnerships, including Form 1065.",,zcrm_5107082000000496001,"iisi Tax",zcrm_5107082000000496001,"iisi Tax","2025-01-16 21:28:12","2025-02-12 18:07:18",98.78,329,22,328.22,417.12,Each,Service,147.7,true
zcrm_5107082000000512061,"Business Corporation (1120S-1120) *State Not-Included","Declaracion de Corporacion (1120S/1120) (Sin Estatal)",C100,549,"Tax Service Business",,,zcrm_5107082000000496001,"iisi Tax",999,"Filing of corporate tax returns (1120S or 1120). State filing not included.",,zcrm_5107082000000496001,"iisi Tax",zcrm_5107082000000496001,"iisi Tax","2025-01-16 21:28:12","2025-02-12 18:07:18",120.78,399,27,401.22,509.92,Each,Service,180.55,true
zcrm_5107082000000512062,"Tax Service I. ITIN Application","Solicitud de ITIN (W7) con COA",TXITIN,69,"Tax Service Individual",,,zcrm_5107082000000496001,"iisi Tax",399,"Application and COA",ITINwCOA,zcrm_5107082000000496001,"iisi Tax",zcrm_5107082000000496001,"iisi Tax","2025-01-16 21:28:12","2025-02-12 18:07:18",15.18,69,3,50.82,64.48,Each,Service,22.87,true
zcrm_5107082000000512063,"ITIN COA Only","ITIN COA Solamente",IT20,69,"Tax Service Individual",,,zcrm_5107082000000496001,"iisi Tax",99,"Application service for obtaining an Individual Taxpayer Identification Number (ITIN).",,zcrm_5107082000000496001,"iisi Tax",zcrm_5107082000000496001,"iisi Tax","2025-01-16 21:28:12","2025-02-12 18:07:18",15.18,69,3,50.82,64.48,Quarterly,Service,22.87,true
zcrm_5107082000000512064,"W7-ITIN Application & Processing","Solicitud y Procesamiento de ITIN (W7)",IT10,299,"Tax Service Individual",zcrm_5107082000000496001,"iisi Tax",zcrm_5107082000000496001,"iisi Tax",299,"Preparation of ITIN Certificate of Accuracy (COA) documentation.",ITIN-ID,zcrm_5107082000000496001,"iisi Tax",zcrm_5107082000000496001,"iisi Tax","2025-01-16 21:28:12","2025-02-12 18:07:18",65.78,229,15,218.22,277.42,Each,Service,98.2,true
zcrm_5107082000000512065,"1099 Filing","Presentacion de Formularios 1099",XX99,99,"Tax Service Business",,,zcrm_5107082000000496001,"iisi Tax",149,"End-to-end ITIN application and processing services (W7 forms).",1099,zcrm_5107082000000496001,"iisi Tax",zcrm_5107082000000496001,"iisi Tax","2025-01-16 21:28:12","2025-02-12 18:07:18",21.78,99,5,72.22,91.82,Each,Service,32.5,true
zcrm_5107082000000512066,"State Sales Tax","Declaracion de Impuesto de Ventas Estatales",B300,49,"Tax Service Business",,,zcrm_5107082000000496001,"iisi Tax",99,"Preparation and filing of 1099 forms for businesses.",SALES-FAB,zcrm_5107082000000496001,"iisi Tax",zcrm_5107082000000496001,"iisi Tax","2025-01-16 21:28:12","2025-02-12 18:07:18",10.78,69,2,36.22,45.92,Each,Service,16.3,true
zcrm_5107082000000512067,"1040x-Amended Tax Return Filing","Declaracion Estandar Enmendada (1040X)",A190,249,"Tax Service Individual",zcrm_5107082000000496001,"iisi Tax",zcrm_5107082000000496001,"iisi Tax",349,"Filing and preparation of sales tax returns for businesses.",,zcrm_5107082000000496001,"iisi Tax",zcrm_5107082000000496001,"iisi Tax","2025-01-16 21:28:12","2025-02-12 18:07:18",54.78,199,12,182.22,231.52,Each,Service,82,true
zcrm_5107082000000512068,709-Estate&GiftTaxReturnFiling,"Declaracion de Impuesto de Herencia y Donacion (709)",A709,149,"Tax Service Individual",,,zcrm_5107082000000496001,"iisi Tax",249,"Amended filing for corrections to previously filed individual tax returns (Form 1040X).",a-la-carta,zcrm_5107082000000496001,"iisi Tax",zcrm_5107082000000496001,"iisi Tax","2025-01-16 21:28:12","2025-02-12 18:07:18",32.78,129,7,109.22,138.72,Each,Service,49.15,true
