Task Name,Description,Project Name,Task Rate Per Hour,Task Budget Hours,Is Billable,Task Status
Assistant,,FOH,0.000,00:00,false,Active
Bookkeeper,,Erick,0.000,00:00,false,Active
Bookkeeper,,Audit,0.000,00:00,false,Active
Sales Manager,,FOH,0.000,00:00,false,Active
FOH,,FOH,13.000,00:00,true,Active
Manager Trainee,,Management,12.000,00:00,true,Active
General Manager Trainee,HR Dirc. / Accounting Trainee,Management,12.500,00:00,false,Active
Manager,,SRVTM,0.000,00:00,false,Active
Facilities,,SRVTM,0.000,00:00,false,Active
CEO,,General Ops Project,0.000,00:00,false,Active
CEO,,General Ops Project,22.000,00:00,true,Active
Other,,General Ops Project,0.000,00:00,false,Active
GENERAL MANAGER TRAINEE,,General Ops Project,0.000,00:00,false,Active
Property Management,,SRVPM,0.000,00:00,false,Active
Facilities Management,,SRVPM,0.000,00:00,true,Active
Facilities Management,,SRVPM,0.000,00:00,false,Active
Facility Maintenance,,SRVPM,0.000,00:00,false,Active
Facility Maintenance,,SRVPM,0.000,00:00,false,Active
Remote Bookkeeping,,Remote Bookkeeping,0.000,00:00,false,Active
Enter Transactions,,Joyeria Esmeralda 22-23,0.000,00:00,true,Active
Categorize Transactions,,Joyeria Esmeralda 22-23,0.000,00:00,true,Active
Analyze each month x24,,Joyeria Esmeralda 22-23,0.000,00:00,true,Active
Report monthly,,Joyeria Esmeralda 22-23,0.000,00:00,true,Active
Yearly reports,,Joyeria Esmeralda 22-23,0.000,00:00,true,Active
Tax filing,,Joyeria Esmeralda 22-23,0.000,00:00,true,Active
Sales tax audit,,Joyeria Esmeralda 22-23,0.000,00:00,true,Active
Review 24 month of transactions,,Joyeria Esmeralda 2022-2023,0.000,00:00,true,Active
Compile Reports,,Joyeria Esmeralda 2022-2023,0.000,00:00,true,Active
Files Sales Tax Returns,,Joyeria Esmeralda 2022-2023,0.000,00:00,true,Active
Pepare Annual Return,,Joyeria Esmeralda 2022-2023,0.000,00:00,true,Active
File Returns,,Joyeria Esmeralda 2022-2023,0.000,00:00,true,Active
COMCAST (I.C. SYSTEM),"SERVICIOS RICE VELASQUEZ L , your past due balance owed to Comcast Business has been referred to IC System, Inc. for collections.Please contact our office today by phone at 833-494-2455  or reply to pdonnell@icsystem.comto discuss payment options. Account SummaryCreditorComcast BusinessBalance Due:$486.85Account No:8529202460638163IC System Reference No:343647800-1-49Pay Online:pay.icsystem.comCall Toll Free:833-494-2455Make Check or Money Order Payable To:I.C. System, INC.PO Box 64378Saint P...",Debt Consolidation Plan,0,00:00,true,Active
BMO HARRIS,,Debt Consolidation Plan,0,00:00,true,Active
CapitalOne Cody,,Debt Consolidation Plan,0,00:00,true,Active
Chase Account 0522,"Apparently after closing the account there was a charge back so now I owe them this amount. 
",Debt Consolidation Plan,0,00:00,true,Active
"2. Provide details of the theft: When speaking with the police, be prepared to provide as much in...",,AllState Claim: 0743569428,0,00:00,true,Active
"3. Gather evidence: To support your police report, gather any evidence you have of the theft. Thi...",,AllState Claim: 0743569428,0,00:00,true,Active
"4. Obtain a copy of the police report: After filing the report, make sure to obtain a copy for yo...",,AllState Claim: 0743569428,0,00:00,true,Active
"5. Contact your insurance company: If you have insurance for your Tesla Model 3, be sure to conta...",,AllState Claim: 0743569428,0,00:00,true,Active
"6. Monitor your credit and financial accounts: If your Tesla was stolen, there is a possibility t...",,AllState Claim: 0743569428,0,00:00,true,Active
"7. Consider posting on social media: In addition to filing a police report, consider posting abou...",,AllState Claim: 0743569428,0,00:00,true,Active
8. Follow up with the police: It is important to follow up with the police periodically to check ...,,AllState Claim: 0743569428,0,00:00,true,Active
9. Be cautious when searching for your vehicle: While it is natural to want to search for your st...,,AllState Claim: 0743569428,0,00:00,true,Active
Close Out Project or Escalate,"If my auto theft claim is not concluded in a timely manner or to my satisfaction, I will first escalate the issue to the insurance company's customer service department and request a review of the claim. If this does not resolve the issue, I will then seek the assistance of an attorney who specializes in auto theft claims.I will also file a complaint with the appropriate state department, such as the Department of Insurance, to report any misconduct or mishandling of my claim by the insurance...",AllState Claim: 0743569428,0,00:00,true,Active
Replacement Car,"Action: Confirming Details of Replacement Vehicle or Claim SettlementStep 1: Contact the Insurance CompanyContact your insurance company and inform them that you need to confirm the details of your replacement vehicle or claim settlement. Make sure to have your policy number and any other relevant information ready.Step 2: Provide Necessary InformationThe insurance company will ask for information such as the make and model of your previous vehicle, the reason for the replacement or claim, an...",AllState Claim: 0743569428,0,00:00,true,Active
Lien Holder Payment,"Step 1: Gather all necessary informationCollect all relevant information such as the lien holder's contact information, account number, and any other details related to the stolen vehicle.Step 2: Contact the lien holderCall the lien holder and inform them about the stolen vehicle. Provide them with the necessary details such as the police report number and the date the vehicle was stolen.Step 3: Request for confirmation of arrangementsExplain to the lien holder that you would like to confirm ...",AllState Claim: 0743569428,0,00:00,true,Active
Conclude Claim,"1. Contact Insurance Company: The first step in concluding your auto theft claim is to contact your insurance company. Inform them that you are ready to close the claim and request for a final settlement.2. Gather Necessary Documents: Make sure you have all the necessary documents related to the theft, such as the police report, insurance policy, and any receipts or proof of ownership for the stolen vehicle.3. Review Settlement Offer: Your insurance company will provide a settlement offer bas...",AllState Claim: 0743569428,0,00:00,true,Active
Work with Claims Adjuster,"1. Gather all necessary documents: Before meeting with your claims adjuster, make sure you have all the necessary documents related to your auto theft claim. This includes the police report, insurance policy information, and any receipts or proof of ownership for the stolen items.2. Schedule a meeting: Contact your claims adjuster and schedule a meeting to discuss your claim. This can be done in person, over the phone, or through video conferencing.3. Be prepared to explain the incident: Duri...",AllState Claim: 0743569428,0,00:00,true,Active
File Claim,"1. Gather all necessary documents: Before filing a claim, make sure you have all the necessary documents to support your claim. This may include receipts, invoices, photos, and any other relevant information.2. Contact your insurance company: The first step in filing a claim is to contact your insurance company. They will provide you with the necessary forms and guide you through the process.3. Fill out the claim form: Once you have the claim form, make sure to fill it out completely and accu...",AllState Claim: 0743569428,0,00:00,true,Active
File Police Report,,AllState Claim: 0743569428,0,00:00,true,Active
Accident Approx. 10:30 PM,"This was the time I estimate that the crash happened from the details I was able to see  from the app. At approximately 10:30 PM, it would appear a severe head-on collision occurred,  The exact cause of the incident remained unknown to me at the time, 
",AllState Claim: 0743569428,0,00:00,true,Active
Theft Approx. 10pm,"Theft that occured at my residence of my Tesla model 3 around this time as far as I can tell from when I got home until the time I realized it was gone. I assume that the only way the thief could have taken the car was when I was right above the car in my room with my phone connected this would allow anyone to open the door and drive away. 
",AllState Claim: 0743569428,0,00:00,true,Active
Release,"1. Contact the tow yard: The first step in releasing a vehicle from a tow yard is to contact the tow yard where the vehicle is located. This can usually be done over the phone or in person.2. Gather necessary documents: In order to release the vehicle, you will need to provide certain documents such as proof of ownership, valid ID, and any relevant paperwork from the tow company.3. Pay outstanding fees: Most tow yards will require payment of any outstanding fees before releasing the vehicle. ...",AllState Claim: 0743569428,0,00:00,true,Active
Notify Agency,,AllState Claim: 0743569428,0,00:00,true,Active
Identify,,AllState Claim: 0743569428,0,00:00,true,Active
File,,AllState Claim: 0743569428,0,00:00,true,Active
Request,,AllState Claim: 0743569428,0,00:00,true,Active
Complete Releaase,,AllState Claim: 0743569428,0,00:00,true,Active
Notify Agency,,AllState Claim: 0743569428,0,00:00,true,Active
Request,,AllState Claim: 0743569428,0,00:00,true,Active
Receive,,AllState Claim: 0743569428,0,00:00,true,Active
PickUp Car,,AllState Claim: 0743569428,0,00:00,true,Active
Ongoing Engagement,,AllState Claim: 0743569428,0,00:00,true,Active
Drop Off,,AllState Claim: 0743569428,0,00:00,true,Active
"Lienholder information -- including name, address, phone and account number.",,AllState Claim: 0743569428,0,00:00,true,Active
Police report or report number.,,AllState Claim: 0743569428,0,00:00,true,Active
"The name, address, and phone number of the facility currently storing the vehicle (A copy of the ...",,AllState Claim: 0743569428,0,00:00,true,Active
"The name, Address, and phone number of the Tesla certified body shop to where the vehicle is to b...",,AllState Claim: 0743569428,0,00:00,true,Active
1. Gather Documents,,AllState Claim: 0743569428,0,00:00,true,Active
2. Contact,,AllState Claim: 0743569428,0,00:00,true,Active
3. Complete and Submit,,AllState Claim: 0743569428,0,00:00,true,Active
Document the Acknowledgement,,AllState Claim: 0743569428,0,00:00,true,Active
Tow Storage,"In this notice, we want to inform you about your auto claim and prevent you from incurring unnecessary storage charges. Your vehicle is currently accruing daily storage charges, but if it is determined that Allstate Property and Casualty Insurance Company will pay the claim, we will not be responsible for any towing and/or storage charges after 2/5/2024. If your vehicle has not been moved, we suggest moving it to a free storage location or residence to minimize damages and costs. If your vehi...",AllState Claim: 0743569428,0,00:00,true,Active
All State General Acknowledgement Received,"An insurance summary of coverages is a document that outlines the specific types of coverage that are included in an insurance policy. It provides a detailed overview of what risks are covered and what benefits the policyholder can expect in the event of a claim. This summary typically includes information about the policy limits, deductibles, and any exclusions or limitations that may apply. It is an important tool for policyholders to understand their insurance coverage and ensure they have...",AllState Claim: 0743569428,0,00:00,true,Active
Allstate Affidavit,"Dear CODY RICEVELASQUEZ JOEL E RICEVELASQUEZ,We are sorry to hear about the loss of your vehicle and our goal is to work together with you to resolve your claim quickly and fairly. We have already started processing your claim, but we require some additional information from you. This includes lienholder information, a police report or report number, the name and contact information of the facility storing your vehicle, confirmation that the vehicle owner has released the vehicle to Allstate,...",AllState Claim: 0743569428,0,00:00,true,Active
AllState Rights Reserved Notice,"The Allstate Property and Casualty Insurance Company is informing the recipient that they reserve all rights and defenses related to the loss that occurred on January 27, 2024 at 3014 Lafayette Rd, Indianapolis, IN. This includes the policy numbered 0802448161. The company also wants to make it clear that any actions taken, such as investigating the damage or providing advance payments, do not waive their rights. They are reserving the right to deny coverage and assert a defense of no coverag...",AllState Claim: 0743569428,0,00:00,true,Active
Your Auto Total Theft Claim,".The sender of the message informs the recipient that their claim is currently being processed, but they require additional information to assist them. This includes lienholder information, police report or report number, information on the current storage facility of the vehicle, confirmation of the vehicle owner releasing the vehicle to Allstate, and the name, address, and phone number of the Tesla certified body shop where the vehicle will be towed. The recipient is also asked to complete ...",AllState Claim: 0743569428,0,00:00,true,Active
File Insurance Claim,"1. Contact Insurance Company: Call or go online to file a claim for a stolen vehicle with your insurance company. Have policy info and police report number ready.2. File a Police Report: Before filing a claim, file a police report for proof of theft.3. Provide Necessary Info: Insurance company will need vehicle info, VIN, and any personal belongings in the car.4. Submit Documentation: Provide police report and other documents such as photos, receipts, and proof of ownership.5. Follow Up: Chec...",AllState Claim: 0743569428,0,00:00,true,Active
1. Contact Insurance Company: Call or go online to file a claim for a stolen vehicle with your in...,,AllState Claim: 0743569428,0,00:00,true,Active
"2. File a Police Report: Before filing a claim, file a police report for proof of theft.",,AllState Claim: 0743569428,0,00:00,true,Active
"3. Provide Necessary Info: Insurance company will need vehicle info, VIN, and any personal belong...",,AllState Claim: 0743569428,0,00:00,true,Active
"4. Submit Documentation: Provide police report and other documents such as photos, receipts, and ...",,AllState Claim: 0743569428,0,00:00,true,Active
5. Follow Up: Check in with insurance company and provide any additional info they may need.,,AllState Claim: 0743569428,0,00:00,true,Active
"6. Consider a Rental Car: If your policy includes rental car coverage, you can get a rental car w...",,AllState Claim: 0743569428,0,00:00,true,Active
7. Keep Records: Keep records of all communication with insurance company.,,AllState Claim: 0743569428,0,00:00,true,Active
"8. Be Patient: Filing a claim for a stolen vehicle can take time, so be patient.",,AllState Claim: 0743569428,0,00:00,true,Active
"9. Consider Hiring an Attorney: If you encounter issues or delays, consider hiring an attorney wh...",,AllState Claim: 0743569428,0,00:00,true,Active
File Police Report,"File police report with the information I was able to gather so far. 1. Contact the police department: The first step in filing a police report for the theft of your Tesla Model 3 is to contact the local police department. You can do this by calling the non-emergency number or visiting the nearest police station.2. Provide details of the theft: When speaking with the police, be prepared to provide as much information as possible about the theft. This includes the date, time, and location of t...",AllState Claim: 0743569428,0,00:00,true,Active
File police report with the information I was able to gather so far. 1. Contact the police depart...,,AllState Claim: 0743569428,0,00:00,true,Active
"2. Provide details of the theft: When speaking with the police, be prepared to provide as much in...",,AllState Claim: 0743569428,0,00:00,true,Active
"3. Gather evidence: To support your police report, gather any evidence you have of the theft. Thi...",,AllState Claim: 0743569428,0,00:00,true,Active
"4. Obtain a copy of the police report: After filing the report, make sure to obtain a copy for yo...",,AllState Claim: 0743569428,0,00:00,true,Active
"5. Contact your insurance company: If you have insurance for your Tesla Model 3, be sure to conta...",,AllState Claim: 0743569428,0,00:00,true,Active
"6. Monitor your credit and financial accounts: If your Tesla was stolen, there is a possibility t...",,AllState Claim: 0743569428,0,00:00,true,Active
"7. Consider posting on social media: In addition to filing a police report, consider posting abou...",,AllState Claim: 0743569428,0,00:00,true,Active
8. Follow up with the police: It is important to follow up with the police periodically to check ...,,AllState Claim: 0743569428,0,00:00,true,Active
9. Be cautious when searching for your vehicle: While it is natural to want to search for your st...,,AllState Claim: 0743569428,0,00:00,true,Active
"10. Stay informed about your rights: As a victim of theft, it is important to know your rights an...",,AllState Claim: 0743569428,0,00:00,true,Active
Allstate Claim:0743569428 missing info,"Log in to review.‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌          Claim 0743569428                                     Mr. Rice-Velasquez,I have reviewed your theft affidavit and have discovere...",AllState Claim: 0743569428,0,00:00,true,Active
Allstate Tow Storage Letter,,AllState Claim: 0743569428,0,00:00,true,Active
Inspection Confirmation,"PDF for your records: view previously sent email.We understand that dealing with a claim can be stressful, but we want to assure you that we are here to assist you. Your car is currently at a tow facility and we will be working on it in the coming days. We will be in touch with you and/or the facility to assess the damages and determine if they can be repaired. Once our inspection is finished, we will update you on the next steps to get you back on the road. If you have any questions about yo...",AllState Claim: 0743569428,0,00:00,true,Active
Planning and analysis,,Digital Marketing,0,00:00,true,Active
Market research,,Digital Marketing,0,00:00,true,Active
Strategy presentation,,Digital Marketing,0,00:00,true,Active
Expectations,,Digital Marketing,0,00:00,true,Active
Goals and objectives,,Digital Marketing,0,00:00,true,Active
Buyer persona brief,,Digital Marketing,0,00:00,true,Active
Digital channels checklist,,Digital Marketing,0,00:00,true,Active
Approval,,Digital Marketing,0,00:00,true,Active
Establishing project timeline,,Digital Marketing,0,00:00,true,Active
Resource on-boarding,,Digital Marketing,0,00:00,true,Active
Roles and responsibilities,,Digital Marketing,0,00:00,true,Active
Budget analysis,,Digital Marketing,0,00:00,true,Active
Budget allocation,,Digital Marketing,0,00:00,true,Active
Outsourcing decision and costs,,Digital Marketing,0,00:00,true,Active
UX/UI (Website/ White papers/ PPTs),,Digital Marketing,0,00:00,true,Active
Logo,,Digital Marketing,0,00:00,true,Active
Banner,,Digital Marketing,0,00:00,true,Active
Video,,Digital Marketing,0,00:00,true,Active
Brainstorming,,Digital Marketing,0,00:00,true,Active
Infographics,,Digital Marketing,0,00:00,true,Active
Emails,,Digital Marketing,0,00:00,true,Active
Blog post,,Digital Marketing,0,00:00,true,Active
Newsletter,,Digital Marketing,0,00:00,true,Active
Social media copy,,Digital Marketing,0,00:00,true,Active
Webinar content,,Digital Marketing,0,00:00,true,Active
Email content preparation,,Digital Marketing,0,00:00,true,Active
Subject lines,,Digital Marketing,0,00:00,true,Active
Campaign 1,,Digital Marketing,0,00:00,true,Active
Campaign 2,,Digital Marketing,0,00:00,true,Active
Twitter,,Digital Marketing,0,00:00,true,Active
Linkedin,,Digital Marketing,0,00:00,true,Active
Facebook,,Digital Marketing,0,00:00,true,Active
Youtube,,Digital Marketing,0,00:00,true,Active
Instagram,,Digital Marketing,0,00:00,true,Active
Define Ads and terms,,Digital Marketing,0,00:00,true,Active
Organic search,,Digital Marketing,0,00:00,true,Active
Paid Search,,Digital Marketing,0,00:00,true,Active
Keyword analysis,,Digital Marketing,0,00:00,true,Active
Monitoring metrics,,Digital Marketing,0,00:00,true,Active
Email campaign tracking,,Digital Marketing,0,00:00,true,Active
2190570000000016068 rate data,,Digital Marketing,0,00:00,true,Active
Click rate data,,Digital Marketing,0,00:00,true,Active
Search engine positioning,,Digital Marketing,0,00:00,true,Active
Website analytics,,Digital Marketing,0,00:00,true,Active
Social media analytics and performance,,Digital Marketing,0,00:00,true,Active
Determine ROI,,Digital Marketing,0,00:00,true,Active
Strengths,,Digital Marketing,0,00:00,true,Active
Weaknesses,,Digital Marketing,0,00:00,true,Active
Challenges,,Digital Marketing,0,00:00,true,Active
Adjustment for new strategy,,Digital Marketing,0,00:00,true,Active
