Record Id,Task Owner.id,Subject,Due Date,Contact Name.id,Related To.id,Status,Priority,Created By.id,Modified By.id,Created Time,Modified Time,Description,Send Notification Email,Reminder,Repeat,Currency,Exchange Rate,Closed Time,Layout.id,Tag,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time,Locked,Record Status,SRV Task ID,SRV1 Task Clave
zcrm_5861855000000552017,zcrm_5861855000000432001,Case Closed Review,2023-09-18,zcrm_5861855000000544255,zcrm_5861855000000552005,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-09-17 14:38:46,2023-09-23 00:32:19,,true,2023-09-18 13:30:00,,USD,1.000000000,2023-09-23 00:32:19,,,2023-09-23 00:32:19,,,,false,Available,SRVTSK0000001,
zcrm_5861855000000722034,zcrm_5861855000000432001,CREATE CITA CONSULADO RECORD,2023-09-23,zcrm_5861855000000721001,zcrm_5861855000000722020,Completed,Low,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-09-22 20:14:25,2023-09-23 00:32:13,,false,2023-09-23 09:00:00,,USD,1.000000000,2023-09-23 00:32:13,,,2023-09-23 00:32:13,,,,false,Available,SRVTSK0000002,
zcrm_5861855000000818016,zcrm_5861855000000432001,Case Closed Review,2023-09-25,zcrm_5861855000000545610,zcrm_5861855000000812001,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-09-24 16:46:59,2023-09-29 15:31:34,,true,,,USD,1.000000000,2023-09-29 15:31:34,,,,,,2023-09-29 15:31:34,false,Available,SRVTSK0000006,
zcrm_5861855000000820017,zcrm_5861855000000432001,Case Closed Review,2023-09-25,,zcrm_5861855000000550332,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-09-24 16:49:29,2023-09-29 15:31:31,,true,,,USD,1.000000000,2023-09-29 15:31:31,,,,,,2023-09-29 15:31:31,false,Available,SRVTSK0000007,
zcrm_5861855000000820034,zcrm_5861855000000432001,Case Closed Review,2023-09-25,,zcrm_5861855000000550331,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-09-24 16:49:58,2023-09-29 15:31:24,,true,,,USD,1.000000000,2023-09-29 15:31:24,,,,,,2023-09-29 15:31:24,false,Available,SRVTSK0000008,
zcrm_5861855000000950001,zcrm_5861855000000432001,Follow up : Missed chat about -Llamada de Cody,2023-09-28,zcrm_5861855000001383009,,Completed,Normal,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-09-28 20:15:29,2023-10-10 19:41:48,Llamada de Cody,false,,,USD,1.000000000,2023-09-29 15:31:04,zcrm_5861855000000091053,,,,,2023-10-10 19:41:48,false,Available,SRVTSK0000010,
zcrm_5861855000000977041,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550279,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:32,2023-12-06 14:27:33,,true,,,USD,1.000000000,2023-12-06 14:27:33,,,2023-12-06 14:27:33,,,,false,Available,SRVTSK0000093,
zcrm_5861855000000977051,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550274,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:32,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000094,
zcrm_5861855000000977061,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550273,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:33,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000095,
zcrm_5861855000000977071,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550271,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:33,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000096,
zcrm_5861855000000977081,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550270,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:33,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000097,
zcrm_5861855000000977091,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550267,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:33,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000098,
zcrm_5861855000000977101,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550264,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:34,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000099,
zcrm_5861855000000977111,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550260,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:34,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000100,
zcrm_5861855000000977121,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550259,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:34,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000101,
zcrm_5861855000000977131,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550258,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:34,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000102,
zcrm_5861855000000977141,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550257,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:35,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000103,
zcrm_5861855000000977151,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550256,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:35,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000104,
zcrm_5861855000000977161,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550255,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:35,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000105,
zcrm_5861855000000977171,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550247,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:35,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000106,
zcrm_5861855000000977181,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550246,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:36,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000107,
zcrm_5861855000000977191,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550240,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:36,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000108,
zcrm_5861855000000977201,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550236,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:36,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000109,
zcrm_5861855000000977211,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550230,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:36,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000110,
zcrm_5861855000000977221,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550228,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:37,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000111,
zcrm_5861855000000977231,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550226,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:37,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000112,
zcrm_5861855000000977241,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550218,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:37,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000113,
zcrm_5861855000000977251,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550216,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:37,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000114,
zcrm_5861855000000977261,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550212,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:38,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000115,
zcrm_5861855000000977271,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550211,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:38,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000116,
zcrm_5861855000000977281,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550210,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:38,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000117,
zcrm_5861855000000977291,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550207,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:38,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000118,
zcrm_5861855000000977301,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550205,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:39,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000119,
zcrm_5861855000000977311,zcrm_5861855000000432001,Case Closed Review,2023-10-02,,zcrm_5861855000000550202,Completed,High,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-10-01 20:35:39,2023-12-06 23:09:26,,true,2023-10-02 16:30:00,,USD,1.000000000,2023-12-06 23:09:26,,,2023-12-06 23:09:26,,,,false,Available,SRVTSK0000120,
