State,Done,Task,Due Date,Projects/Subprojects,Status,Priority,Created,Created By,Edited,Assignee,Quick Capture Box,Sub-Tasks,Parent Task,Start Date,Cold,Late,Parent Project,Priority Project,Sub-Task Count,Connection,Media,Updated,Kanban: Days,Kanban: Teams
⚪,No,Prioritization for…,,,Not started,✨ Medium,"February 27, 2025 5:19 PM",Cody,"February 27, 2025 7:43 PM",,No,,,,No,,,,,,,"February 27, 2025 7:43 PM",,
😀,Yes,Re,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,SRV1ne 360 Tables and Checklists (2024)_Tax Checklist.A1_H93,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,610271613,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,JB LLP Tasks,"June 16, 2024 12:00 AM (EDT)",,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,OIG2,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Bad Google review deletion,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,New Task From Notes,"June 27, 2024",,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,What-You-Need-to-Know-About-Moving-Your-Child-Custody-Case-Out-of-Indiana-1024x644,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,US-based,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
