Record Id,Vendor Name,Phone,Email,Website,GL Account,Category,Vendor Owner.id,Created By.id,Modified By.id,Created Time,Modified Time,Street,City,State,Zip Code,Country,Description,Currency,Exchange Rate,Layout.id,Tag,Vendor Image,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time,Locked,Record Status,Email Opt Out,Unsubscribed Mode,Unsubscribed Time,Vendor Client.id
zcrm_5861855000000633003,SHADOW POINTE HOA,,,,,,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-09-21 05:39:26,2024-03-01 06:55:49,,,,,,,USD,1.000000000,zcrm_5861855000000091015,,,,,,2024-03-01 06:55:49,false,Available,false,,,
zcrm_5861855000000634003,Docketwise,,,,,,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-09-20 23:52:02,2024-03-06 07:56:48,,,,,,,USD,1.000000000,zcrm_5861855000000091015,,,,,,2024-03-06 07:56:48,false,Available,false,,,
zcrm_5861855000000634004,CHASE BUSINESS,,,,,,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-09-20 23:52:02,2024-03-04 17:24:10,,,,,,,USD,1.000000000,zcrm_5861855000000091015,,,,,,2024-03-04 17:24:10,false,Available,false,,,
zcrm_5861855000000634005,QUICKBOOKS,,,,,,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-09-20 23:52:02,2024-03-03 22:21:38,,,,,,,USD,1.000000000,zcrm_5861855000000091015,,,,,,2024-03-03 22:21:38,false,Available,false,,,
zcrm_5861855000000634006,BURGER KING,,,,,,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-09-20 23:52:02,2023-12-19 09:02:23,,,,,,,USD,1.000000000,zcrm_5861855000000091015,,,,,,2023-12-19 09:02:23,false,Available,false,,,
zcrm_5861855000000634007,Door dash,,,,,,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-09-20 23:52:02,2023-12-19 09:02:23,,,,,,,USD,1.000000000,zcrm_5861855000000091015,,,,,,2023-12-19 09:02:23,false,Available,false,,,
zcrm_5861855000000634008,CHIMIS,,,,,,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-09-20 23:52:02,2023-12-19 09:02:23,,,,,,,USD,1.000000000,zcrm_5861855000000091015,,,,,,2023-12-19 09:02:23,false,Available,false,,,
zcrm_5861855000000634009,POSTSCANMAIL,3179997963,support@postscanmail.com,https://app.postscanmail.com/settings/my-addresses,,,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-09-20 23:52:02,2024-02-27 08:13:29,7220 GEORGETOWN RD,INDIANAPOLIS,INDIANA,46268,U.S.A,"MY ADDRESS 
7220 Georgetown Rd Ste 300
PMB 222
Indianapolis, IN 46268",USD,1.000000000,zcrm_5861855000000091015,,,,,,2024-02-27 08:13:29,false,Available,false,,,
zcrm_5861855000000634010,Zoho,,,,,,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-09-20 23:52:02,2023-12-19 09:02:23,,,,,,,USD,1.000000000,zcrm_5861855000000091015,,,,,,2023-12-19 09:02:23,false,Available,false,,,
zcrm_5861855000000643003,MARION COUNTY TREASURER (INDIANA),3173274444,,TREASURER.INDY.GOV,,,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-09-21 05:52:51,2023-12-19 09:02:23,P.O. BOX 6145,INDIANAPOLIS,Indiana,46206,U.S.A,ACCOUNT: 6016506,USD,1.000000000,zcrm_5861855000000091015,,,,,,2023-12-19 09:02:23,false,Available,false,,,
