Id,Old Attachment Id,File Name,File Id,Size,Created Time,Modified Time,Created By.id,Modified By.id,Owner.id,Parent.id
thgdoe760b06022dc4f59a80806c8d5531f93_01272024_Acuerdo de Servicio General (Una Pagina)_005.jpg,zcrm_5861855000006298065,01272024_Acuerdo de Servicio General (Una Pagina)_005.jpg,thgdoe760b06022dc4f59a80806c8d5531f93,415264,2024-01-27 13:48:34,2024-01-27 13:48:34,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000006298001
thgdo3dd4d0bdb22b4fdb8c7fe38683a4056c_01272024_Acuerdo de Servicio General (Una Pagina)_004.jpg,zcrm_5861855000006298066,01272024_Acuerdo de Servicio General (Una Pagina)_004.jpg,thgdo3dd4d0bdb22b4fdb8c7fe38683a4056c,222666,2024-01-27 13:48:34,2024-01-27 13:48:34,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000006298001
ocp4kf50ad3e3cee543e2a3e4336d7bf891f4_harlan w2.jpg,zcrm_5861855000006334029,harlan w2.jpg,ocp4kf50ad3e3cee543e2a3e4336d7bf891f4,268448,2024-01-29 02:30:22,2024-01-29 02:30:22,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000005972019
ocp4k4652d8313ef045428d26098755651ea3_amazon w2.pdf,zcrm_5861855000006334030,amazon w2.pdf,ocp4k4652d8313ef045428d26098755651ea3,117782,2024-01-29 02:30:22,2024-01-29 02:30:22,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000005972019
sfy5v206c95a3b5c94949b3699649725fe6f2_ANDERSSONW2.JPG,zcrm_5861855000006623001,ANDERSSONW2.JPG,sfy5v206c95a3b5c94949b3699649725fe6f2,853098,2024-02-01 11:49:29,2024-02-01 11:49:29,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000005946025
sfy5v7ebc96cd2f644debad9b716068ca59b3_ISABEL P. W2.JPG,zcrm_5861855000006625010,ISABEL P. W2.JPG,sfy5v7ebc96cd2f644debad9b716068ca59b3,342269,2024-02-01 12:09:47,2024-02-01 12:09:47,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000006625006
tjwxab9cb2948c7f4445093eb340c9d381e2c_02032024_rJ 0_003.jpg,zcrm_5861855000006755409,02032024_rJ 0_003.jpg,tjwxab9cb2948c7f4445093eb340c9d381e2c,569417,2024-02-03 11:59:58,2024-02-03 11:59:58,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000006756011
tjwxa014d3234534f45168f32e874571d3ed2_02032024_rJ 0_001.jpg,zcrm_5861855000006755410,02032024_rJ 0_001.jpg,tjwxa014d3234534f45168f32e874571d3ed2,567139,2024-02-03 11:59:58,2024-02-03 11:59:58,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000006756011
rqjce6fcc17f20a1f4ff4b7fa5f79049d4d60_PHOTO-2024-02-03-15-31-08.jpg,zcrm_5861855000006780448,PHOTO-2024-02-03-15-31-08.jpg,rqjce6fcc17f20a1f4ff4b7fa5f79049d4d60,376757,2024-02-03 15:52:59,2024-02-03 15:52:59,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000006780042
154ro5601df8c40c34a5ba263eeb3bd3fe736_01292024_2022.jpg,zcrm_5861855000006815046,01292024_2022.jpg,154ro5601df8c40c34a5ba263eeb3bd3fe736,308149,2024-02-04 15:46:42,2024-02-04 15:46:42,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000006815013
154ro12878fddbc444854a22bca33ae22decf_01292024_2022_001.jpg,zcrm_5861855000006815047,01292024_2022_001.jpg,154ro12878fddbc444854a22bca33ae22decf,594270,2024-02-04 15:46:42,2024-02-04 15:46:42,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000006815013
zcrm_5861855000006945025,zcrm_5861855000006945025,W2Form_FelipeSixtega_Tax2023.png,,0,2024-02-08 05:42:45,2024-02-08 05:42:45,zcrm_5861855000001909384,zcrm_5861855000001909384,zcrm_5861855000001909384,zcrm_5861855000006945023
