Business Name,Address,Address Line 2,City,State,ZIP,Country,Entity Report Due,Entity Report Past Due,Pending Dissolution,Dissolved,date close
3 Guys Construction LLC,1343 N LASALLE ST.,INDIANAPOLIS,INDIANAPOLIS,IN,46201,USA,FALSE,FALSE,FALSE,FALSE,
360 PROPERTY SOLUTIONS LLC,7944 RIDGEGATE WEST DRIVE,INDIANAPOLIS,INDIANAPOLIS,IN,46268,USA,FALSE,FALSE,FALSE,FALSE,
503 TRANSPORT LLC,7439 HIGDON CT,INDIANAPOLIS,INDIANAPOLIS,IN,46214,USA,FALSE,FALSE,FALSE,FALSE,
800SEGURO LLC,7821 TANZA ROAD,"A, INDIANAPOLIS","A, INDIANAPOLIS",IN,46237,USA,FALSE,FALSE,FALSE,FALSE,
A & A HISPANIC MULTISERVICE LLC,3718 N MITTHOEFER RD,INDIANAPOLIS,INDIANAPOLIS,IN,46235,USA,FALSE,FALSE,FALSE,FALSE,
A PLUS REMODELING LLC,2151 WEBB ST,INDIANAPOLIS,INDIANAPOLIS,IN,46225,USA,FALSE,FALSE,FALSE,FALSE,
A RODRIGUEZ LLC,62 N PERSHING AVE,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
ADAN ESTUARDO LOPEZ PEREZ LLC,9715 CHIVALRY COURT,INDIANAPOLIS,INDIANAPOLIS,IN,46229,USA,FALSE,FALSE,FALSE,FALSE,
AE STAFFING & SOLUTIONS LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
AG & S PROFESSIONAL SERVICES LLC,4237 BARI COURT,INDIANAPOLIS,INDIANAPOLIS,IN,46235,USA,FALSE,FALSE,FALSE,FALSE,
Aguacates Alvarez LLC,170 DALE ST.,MITCHELL,MITCHELL,IN,47446,USA,FALSE,FALSE,FALSE,FALSE,
AIDE MANICA GOMEZ LLC,3585 COMMERCIAL DR LOT 710,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
Al S Auto Detail LLC,2850 E COUNTY ROAD 875 S,MOORESVILLE,MOORESVILLE,IN,46158,USA,FALSE,FALSE,FALSE,FALSE,
ALEJANDRO BARRAGAN GARCIA LLC,2067 EGRET CT,"C, INDIANAPOLIS","C, INDIANAPOLIS",IN,46260,USA,FALSE,FALSE,FALSE,FALSE,
ALFONSO RODRIGUEZ VALVERDE LLC,3137 MELBOURNE RD S DR.,INDIANAPOLIS,INDIANAPOLIS,IN,46228,USA,FALSE,FALSE,FALSE,FALSE,
ALFREDO SUAREZ NICOLAS LLC,4523 CALHOUN ST,INDIANAPOLIS,INDIANAPOLIS,IN,46203,USA,FALSE,FALSE,FALSE,FALSE,
ALL EVENT BANQUET LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
ANA E CLAVEL MOLINA LLC,1709 MILLER ST,INDIANAPOLIS,INDIANAPOLIS,IN,46221,USA,FALSE,FALSE,FALSE,FALSE,
ANAS BARBERSHOP LLC,1114 N KEALING AVE,INDIANAPOLIS,INDIANAPOLIS,IN,46201,USA,FALSE,FALSE,FALSE,FALSE,
Andersson Alexander Rivera Cruz LLC,7287 CHINOOK CIRCLE,"LOT 95, INDIANAPOLIS","LOT 95, INDIANAPOLIS",IN,46219,USA,FALSE,FALSE,FALSE,FALSE,
Angel Ramirez Alcocer LLC,5821 BYWOOD,"A, INDIANAPOLIS","A, INDIANAPOLIS",IN,46220,USA,FALSE,FALSE,FALSE,FALSE,
Antonio Pena Hernandez LLC,2109 KESSLER BLVD NORTH DR,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
Antonio Quinillo LLC,5216 BILL DR ,INDIANAPOLIS,INDIANAPOLIS,IN,46236,USA,FALSE,FALSE,FALSE,FALSE,
ARTREVE LLC,4817 SHADOW POINTE DRIVE,INDIANAPOLIS,INDIANAPOLIS,IN,46254,USA,FALSE,FALSE,FALSE,FALSE,
AZURE PALMS LLC,9555 INTERNATIONAL CIRCLE,INDIANAPOLIS,INDIANAPOLIS,IN,46268,USA,FALSE,FALSE,FALSE,FALSE,
BARAHONA TECHNICAL SERVICE LLC,5101 PLAINFIELD AVE,INDIANAPOLIS,INDIANAPOLIS,IN,46241,USA,FALSE,FALSE,FALSE,FALSE,
BELLISIMO D & A LLC,7480 MICHIGAN RD ,"STE C , INDIANAPOLIS","STE C , INDIANAPOLIS",IN,46268,USA,FALSE,FALSE,FALSE,FALSE,
Bernard G LLC,9353 BARCROFT DR APT C,INDIANAPOLIS,INDIANAPOLIS,IN,46240,USA,FALSE,FALSE,FALSE,FALSE,
BERNARDO HERNANDEZ CORONA LLC,3375 WATERGATE CT,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
BETTY BLUE HAIR LLC,3601 N GLEN ARM RD APT C,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
BLESS ME LLC,1134 N BELLEVIEW PL ,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
BOSS WINDOW TINTING LLC,7355 BIMINI LN,"APT D, INDIANAPOLIS","APT D, INDIANAPOLIS",IN,46214,USA,FALSE,FALSE,FALSE,FALSE,
BOXTOPIA WHOLESALE SUPPLIES LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
Brenda V Mendez Hernandez LLC,13500 N US HWY 31 LOT 82,EDINBURGH,EDINBURGH,IN,46124,USA,FALSE,FALSE,FALSE,FALSE,
"BROLY GAMES AND TOYS, LLC",3420 PATTON DR.,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
CANVAS MARKETING LLC,3585 COMMERCIAL DRIVE,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
Carlos Alberto Ortiz Andrade LLC,3548 DUKANE WAY,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
CARLOS DANIEL LLC,9364 RACQUET CLUB N DR APT B,INDIANAPOLIS,INDIANAPOLIS,IN,46260,USA,FALSE,FALSE,FALSE,FALSE,
CASTANEDA FLOORING LLC,5201 PATRICIA ST,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
Chiroy Enterprises HVAC LLC,1401 WADE ST,INDIANAPOLIS,INDIANAPOLIS,IN,46203,USA,FALSE,FALSE,FALSE,FALSE,
CIRINO ZAPATA LLC,403 HAUGH ST,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
CJ RICE & COMPANIES LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
Cleaning Services Gen LLC,4202 MAJESTIC LANE,"APT H, INDIANAPOLIS","APT H, INDIANAPOLIS",IN,46254,USA,FALSE,FALSE,FALSE,FALSE,
COCO BONGOS INDY LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
CollectToys LLC,3585 COMMERCIAL DRIVE,"616, INDIANAPOLIS","616, INDIANAPOLIS",IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
Coranguez LLC,7921 N. ST RD 9 ,FORTVILLE,FORTVILLE,IN,46040,USA,FALSE,FALSE,FALSE,FALSE,
CR MASONRY LLC,2225 S MERIDIAN ST,INDIANAPOLIS,INDIANAPOLIS,IN,46225,USA,FALSE,FALSE,FALSE,FALSE,
CREATED BY JAYSON LLC,1939 W COIL ST.,INDIANAPOLIS,INDIANAPOLIS,IN,46260,USA,FALSE,FALSE,FALSE,FALSE,
Created by Jr Picos LLC,3516 ROUND ROCK CIRCLE,LAFAYETTE,LAFAYETTE,IN,47909,USA,FALSE,FALSE,FALSE,FALSE,
CRUZ COMPUTER REPAIR LLC,3409 WOODFRONT DR,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
D & G GROUP LLC,1671 E FORK DR ,BROWNSBURG,BROWNSBURG,IN,46112,USA,FALSE,FALSE,FALSE,FALSE,
D & G SUPREME GUTTERS LLC,7816 IVYDALE DRIVE ,"APT A, INDIANAPOLIS","APT A, INDIANAPOLIS",IN,46250,USA,FALSE,FALSE,FALSE,FALSE,
D ANGELES AUTO SERVICES LLC,1905 S 4TH ST,"STE B, LAFAYETTE","STE B, LAFAYETTE",IN,47905,USA,FALSE,FALSE,FALSE,FALSE,
DANIELS LANDSCAPING LLC,8919 ROY RD.,INDIANAPOLIS,INDIANAPOLIS,IN,46219,USA,FALSE,FALSE,FALSE,FALSE,
DAVID TECAXCO LLC,2709 COREY DR,INDIANAPOLIS,INDIANAPOLIS,IN,46227,USA,FALSE,FALSE,FALSE,FALSE,
DAVIDS TIRE SHOP LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
DAVIDS TIRE SHOP LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
DELREAL DEAL LIQUIDATORS LLC,3919 LAFAYETTE RD,"SUITE 244, INDIANAPOLIS","SUITE 244, INDIANAPOLIS",IN,46254,USA,FALSE,FALSE,FALSE,FALSE,
DIEGO DIAZ PEREZ LLC,349 S RURAL ST,INDIANAPOLIS,INDIANAPOLIS,IN,46201,USA,FALSE,FALSE,FALSE,FALSE,
DINORA C REYES LLC,3331 W 33RD PL,"D, INDIANAPOLIS","D, INDIANAPOLIS",IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
