"Zaitullah Rides
General Ledger
Basis: Accrual
From 01 Jan 2024 To 31 Dec 2024",,,,
Account,Account Code,Debit,Credit,Balance
(PERSONAL) AFGHAN SEND MONEY,408,0.00,0.00,0.00
(PERSONAL) ENTERTAINMENT,408,110.00,0.00,110.00
(PERSONAL) FOOD,403,664.60,0.00,664.60
(PERSONAL) FOOD HOUSE,404,364.64,80.70,283.94
(PERSONAL) HAIR PRODUCTS,405,25.31,0.00,25.31
(PERSONAL) LIGHT BILL,402,80.30,57.73,22.57
(PERSONAL) RENT,401,502.50,0.00,502.50
(PERSONAL) SHOPPING,406,682.61,50.00,632.61
(PERSONAL) SMOKE SHOP,407,609.03,0.00,609.03
(SCH C) BANK FEES,4600,315.13,0.00,315.13
(SCH C) CAR EXPENSE,4100,0.00,0.00,0.00
(SCH C) CAR EXPENSE - CHARGING,4120,260.67,0.00,260.67
(SCH C) CAR EXPENSE - GAS,4130,"1,026.62",0.00,"1,026.62"
(SCH C) CAR EXPENSE - INSURANCE,4110,149.73,0.00,149.73
(SCH C) CAR EXPENSE - MAINTENANCE,4140,732.62,0.00,732.62
(SCH C) CAR MILEAGE,4160,0.00,0.00,0.00
(SCH C) DEPRECIATION,4150,0.00,0.00,0.00
(SCH C) DUES AND SUBSCRIPTIONS,4400,232.33,96.00,136.33
(SCH C) FOOD (DEDUCTIBLE MEALS),4806,"1,482.38",9.91,"1,472.47"
(SCH C) INTEREST EXPENSE,4200,80.12,0.00,80.12
(SCH C) PROPERTY RENT - TESLA MODEL 3,4500,"1,321.55",0.00,"1,321.55"
(SCH C) RIDESHARE FEES & REFUNDS,4170,22.75,0.00,22.75
(SCH C) TAX AND CONSULTING,4300,163.00,0.00,163.00
(SCH C) TELEPHONE,4905,772.51,237.12,535.39
(SCH C) TRAVEL - LODGING,4803,705.82,0.00,705.82
(SCH C) TRAVEL - LYFT,4801,48.85,0.00,48.85
(SCH C) TRAVEL - PARKING,4802,5.00,0.00,5.00
1100-CASH,1100,0.00,0.00,0.00
Accounts Payable,2100,"2,410.05","2,410.05",0.00
Accounts Receivable,1300,0.00,0.00,0.00
Adv Plus Banking,1103.1,"10,172.22","10,222.71",-50.49
Adv Plus Banking,1103.2,"1,558.82","1,558.82",0.00
Advance Tax,9999.1,0.00,0.00,0.00
AMAZON W2-INCOME,3300,0.00,"4,467.21","-4,467.21"
ANGELA CODY,2216,559.05,"1,326.46",-767.41
Asset Liability Account,2299.98,58.00,0.00,58.00
Bad Debt,4999,0.00,0.00,0.00
Bank Charges (DEPRECATED),9999.5,6.40,0.00,6.40
BOA BANK OVERDRAFT,,0.00,672.36,-672.36
BOA CASH REWARDS CREDIT CARD DEBT,,0.00,554.18,-554.18
CASH APP SAVINGS,1104.2,6.09,6.09,0.00
CASH BACK (NON-TAXABLE),3910,0.00,12.04,-12.04
CASHAPP,1104.1,"1,910.05","1,957.72",-47.67
Cost of Goods Sold,9999.4300,0.00,0.00,0.00
Customized Cash Rewards Visa Platinum Plus,2041.1,691.58,691.58,0.00
Customized Cash Rewards Visa Platinum Plus,2041.2,695.18,695.18,0.00
Dimension Adjustments,9999.3,0.00,0.00,0.00
Discount,3700,0.00,0.00,0.00
Drawings,501,0.00,0.00,0.00
Employee Advance,9999.2,0.00,0.00,0.00
Employee Reimbursements,9999.2500,0.00,0.00,0.00
Exchange Gain or Loss,499,0.00,0.00,0.00
General Income,3000,0.00,0.00,0.00
GENERAL SALES,3100,0.00,0.00,0.00
Interest Income,3400,0.00,0.23,-0.23
Inventory Asset (DEPRECATED),9999.1200,0.00,0.00,0.00
KAREEMULLAH LOAN,2215,500.00,150.00,350.00
Late Fee Income,9999.3400,0.00,0.00,0.00
LOANS,2210,0.00,0.00,0.00
LONG TERM LIABILITY,2500,0.00,0.00,0.00
LYFT (1099-NEC),3220,0.00,326.56,-326.56
NAZAR LOAN ACCOUNT,2211,93.00,900.00,-807.00
NOOR TORAB,2216,0.00,60.00,-60.00
Noorullah Samim,2212,200.00,0.00,200.00
Opening Balance Adjustments,2900,"18,000.99",0.00,"18,000.99"
Opening Balance Offset,599,523.89,35.15,488.74
Other Charges,3900,0.00,175.00,-175.00
OTHER CURRENT LIABILITY,2200,0.00,0.00,0.00
Other Expenses,4998,149.53,113.52,36.01
Owner's Equity,500,0.00,0.00,0.00
PERSONAL EXPENSE (TAXABLE),400,0.00,0.00,0.00
Petty Cash,1101,348.04,348.04,0.00
Prepaid Expenses,1400,65.15,65.15,0.00
Purchase Discounts (DEPRECATED),9999.4,0.00,0.00,0.00
Retained Earnings,502,0.00,0.00,0.00
SANTANDER,2401,"4,638.96","18,955.26","-14,316.30"
SCHEDULE C DEDUCTIONS,4000,0.00,0.00,0.00
Shipping Charge,3800,0.00,0.00,0.00
SoFi Checking,,"5,155.04","5,147.71",7.33
SoFi Savings,,"1,393.29","1,393.28",0.01
TALAWAT KHAN LOAN,2213,200.00,950.00,-750.00
Tax Payable,2101,0.00,0.00,0.00
TAX RETURNS (NON-TAXABLE),3920,0.00,"1,298.00","-1,298.00"
UBER (1099-NEC),3210,0.00,"4,989.59","-4,989.59"
Uncategorized,3999,0.00,0.00,0.00
Undeposited Funds,1102,"1,493.16","1,272.21",220.95
Unearned Revenue,9999.2200,0.00,0.00,0.00
ZAINTULLAH LOAN ACCOUNT,2214,765.00,660.00,105.00
ZAITULLAH RIDES (SCHEDULE C),3200,0.00,6.00,-6.00
