"Date","Description","Amount"
"Pending","Automatic debit","$128.55"
"07/03/24","Loan payment (failed)","$128.55"
"05/22/24","Loan payment refund","$23.60"
"05/14/24","Automatic payment","$10.72"
"05/06/24","Automatic payment","$45.88"
"05/05/24","Loan payment refund","$24.58"
"05/03/24","Automatic payment","$6.60"
"04/30/24","Automatic payment","$10.06"
"04/27/24","Automatic payment","$24.58"
"04/24/24","Automatic payment","$4.12"
"04/21/24","Automatic payment","$49.50"
"04/17/24","Automatic payment","$20.62"
"04/15/24","Automatic payment","$49.50"
"04/13/24","Automatic payment","$100.48"
"04/12/24","Automatic payment","$141.20"
"04/06/24","Automatic payment","$104.61"
"04/04/24","Automatic payment","$4.12"
"03/31/24","Automatic payment","$0.82"
"03/28/24","Automatic payment","$10.56"
"03/26/24","Automatic payment","$9.90"
"03/23/24","Automatic payment","$16.50"
"03/22/24","Automatic payment","$33.84"
"03/19/24","Automatic payment","$28.71"
"03/15/24","Automatic payment","$23.10"
"03/10/24","Automatic payment","$94.71"
"03/09/24","Automatic payment","$33.00"
"03/04/24","Automatic payment","$67.97"
"03/03/24","Automatic payment","$105.34"
"03/02/24","Automatic payment","$117.72"
"02/26/24","Automatic payment","$2.48"
"02/25/24","Automatic payment","$220.20"
"02/20/24","Loan deposit","$2,588.95"
