Account ID,Account Name,Account Code,Description,Account Type,Mileage Rate,Mileage Unit,IsMileage,Account # ,Account Status,Currency,Parent Account,CF.ACCT#,CF.Hierarchy,CF.PNL ORDER,CF.ENTITY
4476661000000010001,6904-Other IN,SRVTM-6904,Miscellaneous charges like adjustments made to the invoice can be recorded in this account.,Income,0.000,,false,,Active,USD,,,,,002-SRVTM
4476661000000032023,Lodging,6061,Any expense related to putting up at motels etc while on business travel can be entered here.,Expense,0.000,,false,,Active,USD,,,,,
4476661000000000358,1006-Undeposited Funds,SRVCH-1006,Record funds received by your company yet to be deposited in a bank as undeposited funds and group them as a current asset in your balance sheet.,Cash,0.000,,false,,Active,USD,,,,,001-SRVCH
4476661000000000361,1010-Petty Cash,SRVCH-1010,It is a small amount of cash that is used to pay your minor or casual expenses rather than writing a check.,Cash,0.000,,false,,Active,USD,,,,,001-SRVCH
4476661000000000364,1100-Accounts Receivable,1100,The money that customers owe you becomes the accounts receivable. A good example of this is a payment expected from an invoice sent to your customer.,Accounts Receivable,0.000,,false,,Active,USD,,,,,001-SRVCH
4476661000000000370,1301-Advance Tax,SRVTM-1301,"Any tax which is paid in advance is recorded into the advance tax account. This advance tax payment could be a quarterly, half yearly or yearly payment.",Other Current Asset,0.000,,false,,Active,USD,,,,,002-SRVTM
4476661000000000373,Accounts Payable,5000,"This is an account of all the money which you owe to others like a pending bill payment to a vendor,etc.",Accounts Payable,0.000,,false,,Active,USD,,,,,
4476661000000000376,Tax Payable,8010,The amount of money which you owe to your tax authority is recorded under the tax payable account. This amount is a sum of your outstanding in taxes and the tax charged on sales.,Other Current Liability,0.000,,false,,Active,USD,,,,,
4476661000000000379,Retained Earnings,9004,The earnings of your company which are not distributed among the share holders is accounted as retained earnings.,Equity,0.000,,false,,Active,USD,,,,,
4476661000000000382,Owner's Equity,5100,The owners rights to the assets of a company can be quantified in the owner''s equity account.,Equity,0.000,,false,,Active,USD,,,,,001-SRVCH
4476661000001401092,Equity C.Contreras,5115,C.Contreras,Equity,0.000,,false,,Active,USD,Owner's Equity,,,,001-SRVCH
4476661000001401096,Equity M.Contreras,5113,,Equity,0.000,,false,,Active,USD,Owner's Equity,,,,001-SRVCH
4476661000001401100,Equity V.Bistrain,5114,,Equity,0.000,,false,,Active,USD,Owner's Equity,,,,001-SRVCH
4476661000001505592,Founders EQuity - Cody,5110,,Equity,0.000,,false,,Active,USD,Owner's Equity,,,,001-SRVCH
4476661000001505596,Founders Equity - Joel,5111,,Equity,0.000,,false,,Active,USD,Owner's Equity,,,,
4476661000002572214,Equity R. Rice,5112,,Equity,0.000,,false,,Active,USD,Owner's Equity,,,,001-SRVCH
4476661000000000385,Opening Balance Offset,5002,This is an account where you can record the balance from your previous years earning or the amount set aside for some activities. It is like a buffer account for your funds.,Equity,0.000,,false,,Active,USD,,,,,001-SRVCH
4476661000000000388,6198-Other Sales,SRVTM-6198,The income from the sales in your business is recorded under the sales account.,Income,0.000,,false,,Active,USD,,,,,002-SRVTM
4476661000000000391,6200-SRVTM Income,SRVTM-6200,A general category of account where you can record any income which cannot be recorded into any other category.,Income,0.000,,false,,Active,USD,,,,,002-SRVTM
4476661000000265265,Rents (IN),2017,,Income,0.000,,false,,Inactive,USD,6200-SRVTM Income,,,,
4476661000000005001,Unearned Revenue,8020,"A liability account that reports amounts received in advance of providing goods or services. When the goods or services are provided, this account balance is decreased and a revenue account is increased.",Other Current Liability,0.000,,false,,Active,USD,,,,,
4476661000000000397,6905-LateFee In,SRVTM-6905,Any late fee income is recorded into the late fee income account. The late fee is levied when the payment for an invoice is not received by the due date.,Income,0.000,,false,,Active,USD,,,,,002-SRVTM
4476661000000000400,Office Supplies,6021,All expenses on purchasing office supplies like stationery are recorded into the office supplies account.,Expense,0.000,,false,,Active,USD,,,,,
4476661000000000403,Advertising And Marketing,6010,"Your expenses on promotional, marketing and advertising activities like banners, web-adds, trade shows, etc. are recorded in advertising and marketing account.",Expense,0.000,,false,,Active,USD,,,,,
4476661000000000406,6200-Discount Income*,SRVTM-6200,Any reduction on your selling price as a discount can be recorded into the discount account.,Income,0.000,,false,,Active,USD,,,,,
4476661000000000409,Bank Fees and Charges,6-6300,"Any bank fees levied is recorded into the bank fees and charges account. A bank account maintenance fee, transaction charges, a late payment fee are some examples.",Expense,0.000,,false,,Active,USD,,,,,
4476661000000000412,Credit Card Charges,6080,"Service fees for transactions , balance transfer fees, annual credit fees and other charges levied on a credit card are recorded into the credit card account.",Expense,0.000,,false,,Active,USD,,,,,
4476661000000000415,Exchange Gain or Loss,6800,Changing the conversion rate can result in a gain or a loss. You can record this into the exchange gain or loss account.,Other Expense,0.000,,false,,Active,USD,,,,,
4476661000000000418,Travel Expense,6060,"Expenses on business travels like hotel bookings, flight charges, etc. are recorded as travel expenses.",Expense,0.000,,false,,Active,USD,,,,,
4476661000000000421,Telephone Expense,6041,"The expenses on your telephone, mobile and fax usage are accounted as telephone expenses.",Expense,0.000,,false,,Active,USD,,,,,
4476661000000000427,IT and Internet Expenses,6040,"Money spent on your IT infrastructure and usage like  internet connection, purchasing computer equipment etc is recorded as an IT and Computer Expense.",Expense,0.000,,false,,Active,USD,,,,,
4476661000000000433,Janitorial Expense,6022,All your janitorial and cleaning expenses are recorded into the janitorial expenses account.,Expense,0.000,,false,,Active,USD,,,,,
4476661000000014001,6810-Shipping Charge,SRVS-6810,Shipping charges made to the invoice will be recorded in this account.,Income,0.000,,false,,Active,USD,,,,,004-SRVSHOP
4476661000000000436,Postage,6027,"Your expenses on ground mails, shipping and air mails can be recorded under the postage account.",Expense,0.000,,false,,Active,USD,,,,,
4476661000000000439,Bad Debt,6-6500,Any amount which is lost and is unrecoverable is recorded into the bad debt account.,Expense,0.000,,false,,Active,USD,,,,,
