Expense Date,Expense Description,Expense Account,Expense Account Code,Paid Through,Paid Through Account Code,Vendor,Vendor Number,Project Name,Entry Number,Currency Code,Exchange Rate,Is Inclusive Tax,Mileage Rate,Mileage Unit,Distance,Start Odometer Reading,End Odometer Reading,Mileage Type,Vehicle Name,Claimant Email,Tax Name,Tax Percentage,Tax Type,Item Tax Authority,Tax Amount,Expense Amount,Total,Reference#,Is Billable,Customer Name,Customer Number,Expense Reference ID,Recurrence Name,ExpenseReport Name,Is Reimbursable,TYPE
2024-04-11,Tracklib Holdings AB,5105P-Dues and Subscriptions,5105P,P1103.2-SoFi Checking,P1103.2,Traklib Holdings AB,VEN-1,,1,USD,1,false,0,,,,,NonMileage,,,,,ItemAmount,,0.00,5.99,5.99,,false,,,5076739000000089461,,,false,
2024-04-10,Aldi,P4810-Groceries,P4810,P1103.2-SoFi Checking,P1103.2,Aldi,VEN-2,,2,USD,1,false,0,,,,,NonMileage,,,,,ItemAmount,,0.00,119.21,119.21,,false,,,5076739000000089511,,,false,
2024-04-10,ExxonMobil,4020-Car-Automobile,4020,P1103.2-SoFi Checking,P1103.2,ExxonMobil,VEN-3,,3,USD,1,false,0,,,,,NonMileage,,,,,ItemAmount,,0.00,29.99,29.99,,false,,,5076739000000089553,,,false,
2024-03-07,Tracklib Holdings AB,5105P-Dues and Subscriptions,5105P,P1103.2-SoFi Checking,P1103.2,Traklib Holdings AB,VEN-1,,4,USD,1,false,0,,,,,NonMileage,,,,,ItemAmount,,0.00,5.99,5.99,,false,,,5076739000000089633,,,false,
2024-02-09,Tracklib Holdings AB,5105P-Dues and Subscriptions,5105P,P1103.2-SoFi Checking,P1103.2,Traklib Holdings AB,VEN-1,,5,USD,1,false,0,,,,,NonMileage,,,,,ItemAmount,,0.00,5.99,5.99,,false,,,5076739000000089831,,,false,
2024-01-07,Tracklib Holdings AB,5105P-Dues and Subscriptions,5105P,P1103.2-SoFi Checking,P1103.2,Traklib Holdings AB,VEN-1,,6,USD,1,false,0,,,,,NonMileage,,,,,ItemAmount,,0.00,5.99,5.99,,false,,,5076739000000089963,,,false,
2024-04-07,Amazon,4200-Office Expense,4200,P1103.2-SoFi Checking,P1103.2,Amazon,VEN-4,,7,USD,1,false,0,,,,,NonMileage,,,,,ItemAmount,,0.00,21.17,21.17,,false,Servicios Rice-Velasquez,CUS-2,5076739000000090029,,,false,
2024-04-06,ZOHO CORPORATION,4904-IT and Internet Expenses,4904,P1103.2-SoFi Checking,P1103.2,Zoho Corporation,VEN-5,,8,USD,1,false,0,,,,,NonMileage,,,,,ItemAmount,,0.00,20.00,20.00,,false,,,5076739000000090061,,,false,
2024-04-04,McDonald's,4804-Deductible Meals,4804,P1103.2-SoFi Checking,P1103.2,McDonald's,VEN-6,,9,USD,1,false,0,,,,,NonMileage,,,,,ItemAmount,,0.00,8.52,8.52,,false,,,5076739000000090103,,,false,
2024-04-02,DD *DOORDASH JACKINTHE,4804-Deductible Meals,4804,P1103.2-SoFi Checking,P1103.2,DD *Doordash,VEN-7,,10,USD,1,false,0,,,,,NonMileage,,,,,ItemAmount,,0.00,2.34,2.34,,false,,,5076739000000090145,,,false,
2024-03-07,DD *DOORDASH JACKINTHE,4804-Deductible Meals,4804,P1103.2-SoFi Checking,P1103.2,DD *Doordash,VEN-7,,11,USD,1,false,0,,,,,NonMileage,,,,,ItemAmount,,0.00,32.29,32.29,,false,,,5076739000000090177,,,false,
2024-02-14,McDonald's,4804-Deductible Meals,4804,P1103.2-SoFi Checking,P1103.2,McDonald's,VEN-6,,12,USD,1,false,0,,,,,NonMileage,,,,,ItemAmount,,0.00,9.77,9.77,,false,,,5076739000000090199,,,false,
2024-01-04,DD *DOORDASH PIZZAHUT,4804-Deductible Meals,4804,P1103.2-SoFi Checking,P1103.2,DD *Doordash,VEN-7,,13,USD,1,false,0,,,,,NonMileage,,,,,ItemAmount,,0.00,42.92,42.92,,false,,,5076739000000090221,,,false,
2024-01-06,ZOHO CORPORATION,4904-IT and Internet Expenses,4904,P1103.2-SoFi Checking,P1103.2,Zoho Corporation,VEN-5,,14,USD,1,false,0,,,,,NonMileage,,,,,ItemAmount,,0.00,20.00,20.00,,false,,,5076739000000090243,,,false,
2024-01-04,DD *DOORDASH MCDONALDS,4804-Deductible Meals,4804,P1103.2-SoFi Checking,P1103.2,DD *Doordash,VEN-7,,15,USD,1,false,0,,,,,NonMileage,,,,,ItemAmount,,0.00,26.04,26.04,,false,,,5076739000000090265,,,false,
2024-04-02,McDonald's,4804-Deductible Meals,4804,P1103.2-SoFi Checking,P1103.2,McDonald's,VEN-6,,16,USD,1,false,0,,,,,NonMileage,,,,,ItemAmount,,0.00,21.13,21.13,,false,,,5076739000000090287,,,false,
2024-01-06,DD *DOORDASH BURGERKIN,4804-Deductible Meals,4804,P1103.2-SoFi Checking,P1103.2,DD *Doordash,VEN-7,,17,USD,1,false,0,,,,,NonMileage,,,,,ItemAmount,,0.00,43.72,43.72,,false,,,5076739000000090309,,,false,
2024-03-08,ZOHO CORPORATION,4904-IT and Internet Expenses,4904,P1103.2-SoFi Checking,P1103.2,Zoho Corporation,VEN-5,,18,USD,1,false,0,,,,,NonMileage,,,,,ItemAmount,,0.00,20.00,20.00,,false,,,5076739000000090331,,,false,
2024-04-02,DD *DOORDASH JACKSDONU,4804-Deductible Meals,4804,P1103.2-SoFi Checking,P1103.2,DD *Doordash,VEN-7,,19,USD,1,false,0,,,,,NonMileage,,,,,ItemAmount,,0.00,31.01,31.01,,false,,,5076739000000090353,,,false,
2024-01-18,ZOHO CORPORATION,4904-IT and Internet Expenses,4904,P1103.2-SoFi Checking,P1103.2,Zoho Corporation,VEN-5,,20,USD,1,false,0,,,,,NonMileage,,,,,ItemAmount,,0.00,20.00,20.00,,false,,,5076739000000090375,,,false,
2024-01-06,DD *DOORDASH CVS,4804-Deductible Meals,4804,P1103.2-SoFi Checking,P1103.2,DD *Doordash,VEN-7,,21,USD,1,false,0,,,,,NonMileage,,,,,ItemAmount,,0.00,59.16,59.16,,false,,,5076739000000090397,,,false,
