date,Ref-num,type,subtotal,fee,amount,status,memo,counterparty,note
2026-07-05 02:23:58 CDT,,Account Notifications,$0.00,,$0.00,COMPLETE,New device login,,Cash Balance
2026-07-04 11:43:40 CDT,,Cash Card,-$50.00,$0.00,-$50.00,WAITING_ON_RECIPIENT,STUDIO 6 INDIANAPOLIS,,Cash Balance
2026-07-04 10:25:54 CDT,#D-O1Q3QQ526,P2P,$78.55,$0.00,$78.55,COMPLETE,loan payment,Tu Ángela,Cash Balance
2026-07-04 10:24:58 CDT,,,$80.00,,$80.00,COMPLETE,Afterpay,,Cash Balance
2026-07-04 10:24:10 CDT,#D-9EPMP4VGZ,P2P,-$77.77,-$2.23,-$80.00,COMPLETE,Hotel,Tu Ángela,Cash Balance
2026-07-04 10:23:09 CDT,#D-1R232KEEG,P2P,$39.00,$0.00,$39.00,COMPLETE,loan payment,Tu Ángela,Cash Balance
2026-07-04 10:22:20 CDT,,,$41.00,,$41.00,COMPLETE,Afterpay,,Cash Balance
2026-07-04 10:21:50 CDT,#D-JZJLJZNK1,P2P,-$39.78,-$1.22,-$41.00,COMPLETE,Hotel,Tu Ángela,Cash Balance
2026-07-04 10:20:58 CDT,,,$35.00,,$35.00,COMPLETE,Afterpay,,Cash Balance
2026-06-25 04:17:59 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,UBER *ONE MEMBERSHIP,,Cash Balance
2026-06-24 11:56:02 CDT,#D-L3QX41645,P2P,-$35.00,$0.00,-$35.00,COMPLETE,Gas,Zaitullah Khebarkhil,Cash Balance
2026-06-22 13:32:09 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,UBER *ONE MEMBERSHIP,,Cash Balance
2026-06-21 15:34:27 CDT,,Cash Card,-$57.76,$0.00,-$57.76,FAILED,APPLE.COM/BILL,,Cash Balance
2026-06-19 22:45:14 CDT,,,-$0.01,$0.00,-$0.01,COMPLETE,Savings,,Cash Balance
2026-06-19 20:18:08 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,UBER *ONE MEMBERSHIP,,Cash Balance
2026-06-19 12:04:03 CDT,,Cash Card,-$9.99,$0.00,-$9.99,COMPLETE,APPLE.COM/BILL,,Cash Balance
2026-06-19 01:37:39 CDT,,,-$17.09,,-$17.09,COMPLETE,Afterpay,,Cash Balance
