Month,Year,Date,Total Incomes,Total Expenses,Total Balance,Month Savings,Month Investment,Savings %
January 2024,2024 (db_Yearly_Summary%207d4020363b604b088d019f676aa4c751/2024%2072dc18fb231c41f2b3618ec6825779d6.csv),"January 17, 2024",,,0,,,0% of income saved
February 2024,2024 (db_Yearly_Summary%207d4020363b604b088d019f676aa4c751/2024%2072dc18fb231c41f2b3618ec6825779d6.csv),"February 15, 2024",,,0,,,0% of income saved
March 2024,2024 (db_Yearly_Summary%207d4020363b604b088d019f676aa4c751/2024%2072dc18fb231c41f2b3618ec6825779d6.csv),"February 17, 2024",,,0,,,0% of income saved
February 2025,2025 (db_Yearly_Summary%207d4020363b604b088d019f676aa4c751/2025%2067c0958822e44916ae35ee00dcfdca13.csv),"April 15, 2024",,,0,,,0% of income saved
June 2024,2024 (db_Yearly_Summary%207d4020363b604b088d019f676aa4c751/2024%2072dc18fb231c41f2b3618ec6825779d6.csv),"April 15, 2024",,127.69,-127.69,,,0% of income saved
November 2025,2025 (db_Yearly_Summary%207d4020363b604b088d019f676aa4c751/2025%2067c0958822e44916ae35ee00dcfdca13.csv),"April 15, 2024",,,0,,,0% of income saved
June 2025,2025 (db_Yearly_Summary%207d4020363b604b088d019f676aa4c751/2025%2067c0958822e44916ae35ee00dcfdca13.csv),"April 15, 2024",,,0,,,0% of income saved
March 2025,2025 (db_Yearly_Summary%207d4020363b604b088d019f676aa4c751/2025%2067c0958822e44916ae35ee00dcfdca13.csv),"April 15, 2024",,,0,,,0% of income saved
July 2025,2025 (db_Yearly_Summary%207d4020363b604b088d019f676aa4c751/2025%2067c0958822e44916ae35ee00dcfdca13.csv),"April 15, 2024",,,0,,,0% of income saved
April 2025,2025 (db_Yearly_Summary%207d4020363b604b088d019f676aa4c751/2025%2067c0958822e44916ae35ee00dcfdca13.csv),"April 15, 2024",,,0,,,0% of income saved
May 2025,2025 (db_Yearly_Summary%207d4020363b604b088d019f676aa4c751/2025%2067c0958822e44916ae35ee00dcfdca13.csv),"April 15, 2024",,,0,,,0% of income saved
October 2025,2025 (db_Yearly_Summary%207d4020363b604b088d019f676aa4c751/2025%2067c0958822e44916ae35ee00dcfdca13.csv),"April 15, 2024",,,0,,,0% of income saved
May 2024,2024 (db_Yearly_Summary%207d4020363b604b088d019f676aa4c751/2024%2072dc18fb231c41f2b3618ec6825779d6.csv),"April 15, 2024",150.32,,150.32,,,0% of income saved
December 2024,2024 (db_Yearly_Summary%207d4020363b604b088d019f676aa4c751/2024%2072dc18fb231c41f2b3618ec6825779d6.csv),"April 15, 2024",,,0,,,0% of income saved
August 2025,2025 (db_Yearly_Summary%207d4020363b604b088d019f676aa4c751/2025%2067c0958822e44916ae35ee00dcfdca13.csv),"April 15, 2024",,,0,,,0% of income saved
January 2025,2025 (db_Yearly_Summary%207d4020363b604b088d019f676aa4c751/2025%2067c0958822e44916ae35ee00dcfdca13.csv),"April 15, 2024",,,0,,,0% of income saved
August 2024,2024 (db_Yearly_Summary%207d4020363b604b088d019f676aa4c751/2024%2072dc18fb231c41f2b3618ec6825779d6.csv),"April 15, 2024",,,0,,,0% of income saved
September 2025,2025 (db_Yearly_Summary%207d4020363b604b088d019f676aa4c751/2025%2067c0958822e44916ae35ee00dcfdca13.csv),"April 15, 2024",,,0,,,0% of income saved
September 2024,2024 (db_Yearly_Summary%207d4020363b604b088d019f676aa4c751/2024%2072dc18fb231c41f2b3618ec6825779d6.csv),"April 15, 2024",,,0,,,0% of income saved
December 2025,2025 (db_Yearly_Summary%207d4020363b604b088d019f676aa4c751/2025%2067c0958822e44916ae35ee00dcfdca13.csv),"April 15, 2024",,,0,,,0% of income saved
July 2024,2024 (db_Yearly_Summary%207d4020363b604b088d019f676aa4c751/2024%2072dc18fb231c41f2b3618ec6825779d6.csv),"April 15, 2024",2649,53,2596,,,0% of income saved
April 2024,2024 (db_Yearly_Summary%207d4020363b604b088d019f676aa4c751/2024%2072dc18fb231c41f2b3618ec6825779d6.csv),"April 15, 2024",,,0,,,0% of income saved
November 2024,2024 (db_Yearly_Summary%207d4020363b604b088d019f676aa4c751/2024%2072dc18fb231c41f2b3618ec6825779d6.csv),"April 15, 2024",,,0,,,0% of income saved
October 2024,2024 (db_Yearly_Summary%207d4020363b604b088d019f676aa4c751/2024%2072dc18fb231c41f2b3618ec6825779d6.csv),"April 15, 2024",,,0,,,0% of income saved
January 2026,2026 (db_Yearly_Summary%207d4020363b604b088d019f676aa4c751/2026%20e220c215c95541f0a74070154355b4f5.csv),"April 29, 2024",,,0,,,0% of income saved
February 2026,2026 (db_Yearly_Summary%207d4020363b604b088d019f676aa4c751/2026%20e220c215c95541f0a74070154355b4f5.csv),"April 29, 2024",,,0,,,0% of income saved
