"Zaitullah Rides
Expenses by Category

From 01 Jan 2024 To 31 Dec 2024",,,
account_id,account_name,amount,amount_with_tax
4901281000000467252,(PERSONAL) ENTERTAINMENT,110,110
4901281000000115033,(PERSONAL) FOOD,664.6,664.6
4901281000000106491,(PERSONAL) FOOD HOUSE,283.94,283.94
4901281000000101147,(PERSONAL) HAIR PRODUCTS,25.31,25.31
4901281000000111019,(PERSONAL) LIGHT BILL,80.3,80.3
4901281000000119375,(PERSONAL) RENT,502.5,502.5
4901281000000118379,(PERSONAL) SHOPPING,682.61,682.61
4901281000000101111,(PERSONAL) SMOKE SHOP,609.03,609.03
4901281000000115477,(SCH C) BANK FEES,312.75,312.75
4901281000000275275,(SCH C) CAR EXPENSE - CHARGING,260.67,260.67
4901281000000106369,(SCH C) CAR EXPENSE - GAS,1026.62,1026.62
4901281000000239151,(SCH C) CAR EXPENSE - INSURANCE,149.73,149.73
4901281000000101237,(SCH C) CAR EXPENSE - MAINTENANCE,732.62,732.62
4901281000000101307,(SCH C) DUES AND SUBSCRIPTIONS,232.33,232.33
4901281000000106291,(SCH C) FOOD (DEDUCTIBLE MEALS),1482.38,1482.38
4901281000000111937,(SCH C) INTEREST EXPENSE,80.12,80.12
4901281000000275248,(SCH C) PROPERTY RENT - TESLA MODEL 3,1323.93,1323.93
4901281000000275017,(SCH C) RIDESHARE FEES & REFUNDS,22.75,22.75
4901281000000106985,(SCH C) TAX AND CONSULTING,163,163
4901281000000111097,(SCH C) TELEPHONE,772.51,772.51
4901281000000032023,(SCH C) TRAVEL - LODGING,705.82,705.82
4901281000000118415,(SCH C) TRAVEL - LYFT,48.85,48.85
4901281000000084149,(SCH C) TRAVEL - PARKING,5,5
4901281000000000409,Bank Charges (DEPRECATED),2.5,2.5
4901281000000000460,Other Expenses,36.01,36.01
