Record Id,S.NO,Document Owner.id,Created By.id,Modified By.id,Created Time,Modified Time,Last Activity Time,Layout.id,Parent.id,Currency,Exchange Rate,Document Name,Pages,Describe,Request Apostille
zcrm_5861855000003273152,1,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-11-19 13:45:27,2023-11-19 13:45:27,,zcrm_5861855000003218004,zcrm_5861855000003273148,USD,1.000000000,PODER,3,DOCUMENT HAS POA AND NOTARY CERTIFICATE AND COPY OF NOTARY CERTIFICATE IN SPANISH.,false
zcrm_5861855000003518003,1,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-11-24 14:57:00,2023-11-24 14:57:00,,zcrm_5861855000003218004,zcrm_5861855000003518001,USD,1.000000000,Power of Attorney,3,POA in Spanish and English,false
zcrm_5861855000003706094,1,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-11-30 10:02:44,2023-12-08 17:26:10,2023-12-08 17:26:10,zcrm_5861855000003218004,zcrm_5861855000003706091,USD,1.000000000,GENERAL POWER OF ATTORNEY FOR NICARAGUA,2,POA ALONG WITH NOTARY CERTIFICATE AND CERTIFICATE TRANSLATED.,true
zcrm_5861855000003706188,1,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-11-30 12:28:42,2023-11-30 12:28:42,,zcrm_5861855000003218004,zcrm_5861855000003096001,USD,1.000000000,ID VERIFICATION DOCUMENT,2,ID VERIFICATION WITH PASSPORT,false
zcrm_5861855000003806141,1,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-12-02 09:33:33,2023-12-02 09:41:07,2023-12-02 09:41:07,zcrm_5861855000003218004,zcrm_5861855000003806138,USD,1.000000000,CERTIFICATE,1,CET BECAUSE i SAID,true
zcrm_5861855000004389018,1,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-12-17 13:44:26,2023-12-18 00:47:32,2023-12-18 00:47:32,zcrm_5861855000003218004,zcrm_5861855000004389016,USD,1.000000000,PODER ESPECIAL,2,POA FOR NICARAGUA,true
zcrm_5861855000004609016,1,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2023-12-23 02:20:12,2023-12-23 02:20:20,2023-12-23 02:20:20,zcrm_5861855000003218004,zcrm_5861855000004623001,USD,1.000000000,POA MEXICO,1,DIVORCE,true
zcrm_5861855000005583064,1,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2024-01-13 17:40:06,2024-01-13 17:40:06,,zcrm_5861855000003218004,zcrm_5861855000005583062,USD,1.000000000,EIN NAME CORRECTION REQUEST,1,REQUEST TO CORRECT NAME,false
zcrm_5861855000007424014,1,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2024-02-15 11:26:32,2024-02-15 11:26:48,2024-02-15 11:26:48,zcrm_5861855000003218004,zcrm_5861855000007424011,USD,1.000000000,Verification of Home Address Under Oath,1,,false
zcrm_5861855000009147589,1,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2024-03-14 19:34:35,2024-03-14 19:34:35,,zcrm_5861855000003218004,zcrm_5861855000009147587,USD,1.000000000,Child Travel Letter,1,To travel to honduras,false
zcrm_5861855000009278059,1,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2024-03-15 21:57:22,2024-03-15 21:57:22,,zcrm_5861855000003218004,zcrm_5861855000009278058,USD,1.000000000,CHILD TRAVEL LETTER,5,CHILD TRAVEL LETTER WITH NOTARY SAMPE AND COMPANY.,false
