Zodiac Name,Zodiac Order,Tags,Key Attributes,Reading Journal
Capricorn: December 22 - January 19,1,"Capricorn, December, January","Capricorn, December, January",
Aquarius: January 20 - February 18,2,"Aquarius, January 20 - February 18, Zodiac Sign","Aquarius, January 20 - February 18, Zodiac Sign",
Pisces: February 19 - March 20,3,"February 19 - March 20, Pisces, Zodiac","Artistic, Compassionate, Intuitive",
Aries: March 21 - April 19,4,"April, Aries, March","April, Aries, March",
Taurus: April 20 - May 20,5,"Astrology, Earth Sign, Zodiac Sign","Patience and Determination, Sensuality and Pleasure, Stability and Reliability",
Gemini: May 21 - June 20,6,,"Gemini, Zodiac",
Cancer: June 21 - July 22,7,,,
Leo: July 23 - August 22,8,,,
Virgo: August 23 - September 22,9,,,
Libra: September 23 - October 22,10,,,
Scorpio: October 23 - November 21,11,,,
Sagittarius: November 22 - December 21,12,,"December, November, Sagittarius",
