"Zaitullah Rides
Purchases By Vendor

From 01 Jan 2024 To 31 Dec 2024",,,,,,
Vendor Name,Expense Count,Bill Count,Vendor Credit Count,Journal Count,Amount,Amount with Tax
Others,54,0,0,0,"$2,697.50","$2,697.50"
AESIndiana,0,2,0,0,$80.30,$80.30
ALDI,1,0,0,0,$8.86,$8.86
AMAZON,1,0,0,0,$37.24,$37.24
AMOCO,46,0,0,0,$840.32,$840.32
APNA BAZAAR,1,0,0,0,$21.38,$21.38
AT&T Prepaid,3,0,0,0,$153.79,$153.79
ATT PREPAID ACCOUNT,2,1,0,0,$98.82,$98.82
AUTOZONE,4,0,0,0,$108.09,$108.09
BANK OF AMERICA,0,1,0,0,$141.00,$141.00
Bobs Marathon,2,0,0,0,$25.00,$25.00
bp,4,0,0,0,$49.81,$49.81
BROADRIPPLE PANTRY,15,0,0,0,$318.60,$318.60
Burlington,2,0,0,0,$132.24,$132.24
CODY (PERSONAL),9,0,0,1,$349.05,$349.05
College Ave Smoke Shop,7,0,0,0,$164.66,$164.66
COMMUNITY JUSTICE,2,0,0,0,$10.00,$10.00
COMPANY KITCHEN,29,0,0,0,$89.01,$89.01
CREW CARWASH,17,0,0,1,$248.97,$248.97
Crown Smoke Shop,4,0,0,0,$67.45,$67.45
CSC SERVICEWORKS,17,0,0,0,$43.00,$43.00
DD *DoorDash LittleCae,3,0,0,0,$70.41,$70.41
DD *Doordash Mcdonalds,4,0,0,0,$61.96,$61.96
DD *DoorDash Whitecastle,3,0,0,0,$55.34,$55.34
Ding,2,0,0,0,$39.91,$39.91
Dirt Stripper Carwash,4,0,0,0,$87.00,$87.00
DOLLAR TREE,1,0,0,0,$3.93,$3.93
DOORDASH,5,0,0,0,$177.36,$177.36
Electrify America,2,0,0,0,$42.46,$42.46
ESTEREO LOUNGE,2,0,0,0,$25.00,$25.00
EVGO Services LLC,7,0,0,0,$104.22,$104.22
FOOD HOUSE - NAZAR,0,1,0,0,$80.70,$80.70
Get Go,1,0,0,1,$17.06,$17.06
GHALIB LLC,2,0,0,0,$74.88,$74.88
GILLS MART,1,0,0,0,$5.75,$5.75
HALAL,23,0,0,1,$683.93,$683.93
HOME PAY,0,1,0,0,$300.00,$300.00
Jesus Trejo-Gonzalez,1,0,0,0,$60.00,$60.00
JIFFY LUBE,2,0,0,0,$125.62,$125.62
KAREEMULLAH,1,0,0,0,$500.00,$500.00
LYFT,2,0,0,0,$48.85,$48.85
MAGOOS,3,0,0,1,$63.81,$63.81
MARATHON,10,0,0,0,$399.86,$399.86
MCDONALDS,19,0,0,0,$348.19,$348.19
Meijer,1,0,0,0,$5.22,$5.22
MINT,2,0,0,0,$121.75,$121.75
NNT US Wireless,1,0,0,0,$98.15,$98.15
OBADIAHS,9,0,0,0,$186.01,$186.01
PRIME VIDEO,1,0,0,0,$5.99,$5.99
SANTANDAR,7,0,0,0,"$4,638.96","$4,638.96"
SHELL,1,0,0,0,$16.66,$16.66
Shoppers World,6,0,0,0,$87.47,$87.47
SPEEDWAY,8,0,0,1,$174.83,$174.83
SQ *SMOKY PALACE SMOKE,1,0,0,0,$35.30,$35.30
SRV1NE,4,9,0,0,"$1,717.60","$1,717.60"
SSB RETAIL,1,0,0,0,$53.73,$53.73
Stripper,2,0,0,0,$43.75,$43.75
T-Mobile,1,0,0,0,$300.00,$300.00
TACO BELL,2,0,0,0,$7.49,$7.49
Talawat Khan,0,1,0,0,$200.00,$200.00
TESLA SUPERCHARGER,1,0,0,0,$12.99,$12.99
Tire Disounters,1,0,0,0,$117.67,$117.67
TJ Maxx,1,0,0,0,$14.96,$14.96
UBER EATS,2,0,0,0,$6.37,$6.37
UBER ONE,3,0,0,0,$21.75,$21.75
VILLAGE PANTRY,1,0,0,0,$8.97,$8.97
WAL-MART,1,0,0,0,$22.59,$22.59
YASPAL INC,4,0,0,0,$71.00,$71.00
ZAITULLAH 2,4,0,0,0,$485.56,$485.56
Zaitullah Jan (Pay Me First!),0,1,0,0,$58.00,$58.00
TOTAL,383,17,0,6,"$17,574.10","$17,574.10"
