Date,Description,Amount
02/29/2024,SVCScjr co.com,-11.00
02/29/2024,SVCScjr co.com,-12.68
02/29/2024,DoorDash,43.11
02/28/2024,Ultimatetax,117.12
02/28/2024,V2cloud.com,160.00
02/28/2024,CCCS PREAUTHPMT Uncategorized,-25.88
02/28/2024,DoorDash Meals,-15.43
02/27/2024,Twilio HQ 4.0,-18.43
02/27/2024,DoorDash,-7.20
02/27/2024,DoorDash,-51.95
02/27/2024,DoorDash Meals,-37.85
02/27/2024,DoorDash,-78.89
02/27/2024,Cash App,-45.00
02/27/2024,Cash App Bills,573.96
02/27/2024,Cash App,863.00
02/27/2024,Cash App,-32.37
02/27/2024,Enterprise Rent-A-Car,-20.00
02/26/2024,Tmobile Postpaid Web,-100.00
02/25/2024,4 Activities,-10.17
02/24/2024,DoorDash,-2.13
02/24/2024,EI Rey International M,-41.84
02/24/2024,Ubr Pending.uber.com,-6.77
02/23/2024,Amazon,-22.88
02/23/2024,DoorDash,-39.00
02/23/2024,Bar Louie Carmel,-26.88
02/23/2024,Telcel Recargas Fony Bills,-10.93
02/23/2024,Amazon Supplies,-6.03
02/23/2024,Cash App,96.50
02/23/2024,Cash App,-1.99
02/23/2024,Ubr Pending.uber.com,-24.60
02/23/2024,Uber,-20.00
02/22/2024,Amazon Supplies,-26.45
02/22/2024,Zoho Corporation,-6.01
02/22/2024,FIN CTR ECM WEB LOAN PAY Uncategorized Transter out -$209.23,-76.55
02/22/2024,Amazon,-19.86
02/22/2024,2 Activities Sales $30.00,-71.86
02/22/2024,Cash App,-37.33
02/22/2024,Cash App,-48.91
02/22/2024,Cash App,-69.53
02/21/2024,Pizza Hut,-10.69
02/21/2024,Amazon,-25.16
02/21/2024,Amazon,960.00
02/21/2024,FIN CTR ECM WEB LOAN PAY Uncategorized,-23.52
02/21/2024,Amazon,-32.50
02/21/2024,Amazon,-16.43
02/21/2024,Shells.com,-14.49
02/21/2024,Amazon,-8.39
02/20/2024,eBay,-50.78
02/20/2024,Amazon,-100.00
02/20/2024,DoorDash Meals,-50.00
02/20/2024,Ubr Pending.uber.com,-26.69
02/20/2024,Square Loan Transfers,2588.95
02/20/2024,Amazon,-249.07
02/20/2024,Cash App,-10.00
02/19/2024,Amazon,-54.95
