"IIS InnovaTax Solutions LLC
            Profit and Loss
            Basis: Accrual",,,,
,,29 Nov 2024 - 31 Dec 2024,01 Jan 2025 - 02 Feb 2025,
Account ,Account Code ,Total ,Total ,Year To Date                  01/01/2025 - 02/02/2025
,,,,
Operating Income,,,,
          Discount,1002,0,-267.6,-267.6
          Other Charges,7000,0,23.6,23.6
          General Income,1000,0,0,0
                    Sales,1001,0,6093,6093
          Total for General Income,1000,0,6093,6093
,,,,
Total for Operating Income,,0,5849,5849
,,,,
Cost of Goods Sold,,,,
Total for Cost of Goods Sold,,0,0,0
,,,,
Gross Profit,,0,5849,5849
,,,,
Operating Expense,,,,
          Advertising And Marketing,10100,0,246.75,246.75
          Bank Fees & Charges,,0,25.74,25.74
          Rent Expense,9400,0,1500,1500
          Repairs and Maintenance,9200,0,5.34,5.34
          Office Expense,10700,0,0,0
                    Office Supplies,10710,0,96.04,96.04
          Total for Office Expense,10700,0,96.04,96.04
,,,,
          IT and Internet Expenses,10500,0,0,0
                    System Licenses,10510,0,655.94,655.94
                    Telephone Expense,10520,0,2,2
          Total for IT and Internet Expenses,10500,0,657.94,657.94
,,,,
Total for Operating Expense,,0,2531.81,2531.81
,,,,
Operating Profit,,0,3317.19,3317.19
,,,,
Non Operating Income,,,,
Total for Non Operating Income,,0,0,0
,,,,
Non Operating Expense,,,,
Total for Non Operating Expense,,0,0,0
,,,,
Net Profit/Loss,,0,3317.19,3317.19
