code,name,type,detail_type,description,parent_account,entity,account_number,routing_number,institution,is_sub_account,active,tax_form,tax_line
9000,Personal Income,revenue,Service/Fee Income,Revenue account tracking personal income streams.,,personal,,,,false,true,,
9100,Personal Expenses,expense,Other Expense,Expense account tracking business personal expenses expenditures.,,personal,,,,false,true,,
9220,Personal Gifts,expense,Other Expense,Expense account tracking business personal gifts expenditures.,,personal,,,,false,true,,
9500,Personal Assets,asset,Other Current Asset,Asset account tracking personal assets holdings and...,,personal,,,,false,true,,
9700,Personal Liabilities,liability,Other Current Liability,Liability account tracking personal liabilities obligation balances.,,personal,,,,false,true,,
PL015,Regional Finance Loan,liability,Long Term Liability,Expense account tracking business regional finance loan...,Pers Liabilities 1,personal,,,,true,true,,
P100,Pers - Assets,asset,Other Current Assets,Pers Assets,,personal,,,,false,true,,
PA100,Pers Assets,asset,Other Current Asset,Asset account tracking pers assets holdings and...,,personal,,,,false,true,,
P101,Pers - Assetshome,asset,Other Current Assets,Home,Pers - Assets,personal,,,,true,true,,
P120,Pers - Assetscar,asset,Other Current Assets,,,personal,,,,true,true,,
P130,Pers - Assetsother,asset,Other Current Assets,,Pers - Assets,personal,,,,true,true,,
P190,Pers - Uncategorized Asset,asset,Other Current Assets,,Pers - Assets,personal,,,,false,true,,
P200,Pers - Liabilities,liability,Other Current Liabilities,Person,,personal,,,,false,true,,
P201,Pers Liabilities,liability,Other Current Liability,Liability account tracking pers liabilities obligation balances.,,personal,,,,false,true,,
P202,Pers Liabilities - Bridgecrest,liability,Other Current Liability,Liability account tracking pers liabilities - bridgecrest...,Pers Liabilities,personal,,,,true,true,,
P203,Pers Liabilities 1,liability,Other Current Liability,Liability account tracking pers liabilities 1 obligation...,Pers Liabilities,personal,,,,true,true,,
P204,Pers Liabilities 2,liability,Other Current Liability,Liability account tracking pers liabilities 2 obligation...,Pers Liabilities,personal,,,,true,true,,
P205,Pers Liabilities 3,liability,Other Current Liability,Liability account tracking pers liabilities 3 obligation...,Pers Liabilities,personal,,,,true,true,,
P206,Pers Liabilities Mortgages,liability,Long Term Liability,Long-term liability account tracking outstanding loan and...,Pers Liabilities,personal,,,,true,true,,
P207,Pers Liabilities Home Mortgage 1,liability,Long Term Liability,Long-term liability account tracking outstanding loan and...,Pers Liabilities Mortgages,personal,,,,true,true,,
P208,Pers Liabilities Home Mortgage 2,liability,Long Term Liability,Long-term liability account tracking outstanding loan and...,Pers Liabilities Mortgages,personal,,,,true,true,,
